Topic,Count,Name,Representation,Representative_Docs
37,184,37_mujeres_mujer_hombres_violencia,"['mujeres', 'mujer', 'hombres', 'violencia', 'feminismo', 'género', 'feminista', 'machista', 'hombres mujeres', 'gustan mujeres']","['yolanda diciendo a las mujeres jovenes y encima convenciendolas de que no pueden llegar a ser lo que quieren....hoy en dia mujeres trabajando en el gobierno....mujeres policias...mujeres empresarias...mujeres muy ricas...mujeres en formula 1...mujeres camioneras...mujeres futbolistas....mujeres medicos...mujeres boberos...y mas y mas mujeres.....y esta yolanda haciendo creer y criando a jovenes para que sean unas borregas y se crean toda la pintomina que el hombre es malo...que el hombre es un asesino ect...ect...ni las mujeres te van a votar señorita yolanda', 'mejor cuenta como tratáis a las mujeres en tu país, morenito.', 'olvidate de las mujeres y vuelcate en controlas los padrones o ganaran']"
38,183,38_risa_humor_risas_reír,"['risa', 'humor', 'risas', 'reír', 'funny', 'xd', 'the', 'gracioso', 'joke', 'jajaja']","['tiene risa de prota malo de anime xd', 'morí de risa no no no está muy bueno.', 'que cagu…. de risa p… mm😅😅😅']"
39,181,39_minuto_34_35_xd,"['minuto', '34', '35', 'xd', '49', '13', 'minutos', '04', '52', '25']","['aplícate el cuento cintora desde el minuto 8:25', 'yo en el minuto 4:20 ""!!! callece señoraa!!""', 'cómo decir por lo menos 5 herejías en menos de un minuto.']"
40,178,40_ken_china_japoneses_made,"['ken', 'china', 'japoneses', 'made', 'perú', 'peruano', 'street', 'chino', 'chinos', 'in']","['😂😂😂😂 ken  made en china', 'ken made in china jajajaaj', 'ken made in china 😂😂😂😂']"
41,166,41_madrid_barcelona_ciudad_capital,"['madrid', 'barcelona', 'ciudad', 'capital', 'ciudades', 'vivir', 'pueblos', 'and', 'noches', 'ir']","['viva la gente de madrid!!', 'vox pacta en madrid con el ppodrido...es lo mismo', 'madrid está es españa?']"
42,158,42_llorar_llorando_crying_hizo llorar,"['llorar', 'llorando', 'crying', 'hizo llorar', 'lágrimas', 'cry', 'hizo', 'this', 'llorado', 'llore']","['a llorar a la llorería', 'si mi hiso llorar pero de ....', 'también a los que la escuchamos nos hace llorar. uffff']"
43,156,43_méxico_mexico_mexicanos_mexicano,"['méxico', 'mexico', 'mexicanos', 'mexicano', 'mexicana', 'frontera', 'unidos', 'españa', 'acá', 'hermanos']","['hay más migrantes de españa en mexico que mexicanos en españa', 'méxico los adopta y los quiere siempreseran mexicanos', 'ironico, q hay mas españoles en mexico, q mexicanos en españa.']"
44,154,44_periodistas_periodista_medios_periodismo,"['periodistas', 'periodista', 'medios', 'periodismo', 'comunicación', 'news', 'medios comunicación', 'propaganda', 'fake', 'noticias']","['los periodistas sois unos esbirros del sistema!', 'es el mejor político que tenemos en españa, los periodistas no son imparciales, generalmente van todos contra vox, yo por eso he dejado escuchar a carlos, yo lo admiraba mucho,  pero deje de escucharle. en esta entrevista sea moderado, pero la mayoría de las veces arremete contra vox, como los demás periodistas q son todos extremista. hace unos años los periodistas trataban de ser más imparcial pero ahora no.', 'si abascal no le gusta los ""medios de comunicación"" como sexta será porque no lo sois, sobre todo con este tipo de ridiculeces']"
45,142,45_miedo_vergüenza_vergonzoso_ajena,"['miedo', 'vergüenza', 'vergonzoso', 'ajena', 'vergüenza ajena', 'dislike', 'independentista', 'mal españa', 'ja', 'dan']","['y es una vergüenza???', 'qué vergüenza españa!', 'le tiene miedo a la pala']"
46,139,46_jajajaja_jajaja_jajajaj_jajajajaja,"['jajajaja', 'jajaja', 'jajajaj', 'jajajajaja', 'jajajajajajaja', 'jajajajajaja', 'vas carrito', 'jajajajaj', 'carrito', 'uy']","['el finaaaaal\njajajaja', 'no macayo!!! jajajaja', 'jajajaja jajajaja 😆 q vas a hacer con el carrito pregunta maddie 😂']"
