year_dataset,Topic,Name,documentos,total_documentos_anio,porcentaje_corpus,etiqueta
2023,0,0_lgtbi_igualdad_ley_diversidad,277,7555,3.67,"Derechos, igualdad y diversidad"
2023,1,1_fútbol_jankto_futbolista_jugador,255,7555,3.38,Diversidad sexual en el fútbol
2023,2,2_orgullo_00_orgullo gay_20,63,7555,0.83,Orgullo gay y celebraciones
2023,3,3_homosexualidad_cañizares_alcalá_obispado,24,7555,0.32,Iglesia y homosexualidad
2023,4,4_orgullo_lgtbi_orgullo lgtbi_lgtbiq,180,7555,2.38,Orgullo y colectivo LGTBI
2023,5,5_acusado_víctima_hechos_prisión,128,7555,1.69,Casos judiciales y víctimas
2023,6,6_película_personajes_serie_cine,106,7555,1.4,Representación en cine y series
2023,7,7_bandera_bandera lgtbi_ayuntamiento_vox,263,7555,3.48,Bandera LGTBI y ayuntamientos
2023,8,8_rusia_propaganda_ruso_rusa,140,7555,1.85,Políticas anti-LGTBI en Rusia
2023,9,9_si_bisexuales_mujeres_homosexuales,58,7555,0.77,Bisexualidad y mujeres
2023,10,10_víctimas_detenido_agentes_policía,43,7555,0.57,Policía y detenciones
2023,11,11_matrimonio_mismo sexo_parejas_sexo,20,7555,0.26,Matrimonio entre personas del mismo sexo
2023,12,12_mateen_orlando_club_tiroteo,10,7555,0.13,Atentado de Orlando
2023,13,13_salud_transexuales_personas_transexualidad,42,7555,0.56,Salud y personas trans
2023,14,14_odio_delitos_agresiones_delitos odio,93,7555,1.23,Delitos de odio y agresiones
2023,15,15_carmen_programa_actriz_veneno,53,7555,0.7,15_carmen_programa_actriz_veneno
2023,16,16_bandera_ayuntamiento_orgullo_día,22,7555,0.29,"Orgullo, banderas e instituciones"
2023,17,17_lgtbi_barcelona_lona_vox,81,7555,1.07,17_lgtbi_barcelona_lona_vox
2023,18,18_girona_gay_rock_cine,84,7555,1.11,18_girona_gay_rock_cine
2023,19,19_barcelona_psc_collboni_partido,59,7555,0.78,19_barcelona_psc_collboni_partido
2023,20,20_premio_cine_festival_premios,48,7555,0.64,20_premio_cine_festival_premios
2023,21,21_matrimonio_supremo_florida_tribunal,16,7555,0.21,Matrimonio igualitario en Estados Unidos
2023,22,22_taiwán_matrimonio_mismo sexo_asia,6,7555,0.08,Matrimonio igualitario en Taiwán
2023,23,23_ejército_trump_obama_transgénero,22,7555,0.29,23_ejército_trump_obama_transgénero
2023,24,24_atletas_atletismo_transgénero_competir,96,7555,1.27,Personas trans en el deporte
2023,25,25_padrino_salinas_iglesia_obispado,9,7555,0.12,Iglesia y controversias religiosas
2023,26,26_nombre_cambio nombre_cambio_niña,9,7555,0.12,Cambio de nombre e infancia trans
2023,27,27_transexual_policía_paloma_mujer,24,7555,0.32,27_transexual_policía_paloma_mujer
2023,28,28_especies_comportamiento_machos_individuos,64,7555,0.85,28_especies_comportamiento_machos_individuos
2023,29,29_sangre_donar_donar sangre_homosexuales,7,7555,0.09,Donación de sangre y homosexualidad
2023,30,30_uganda_museveni_homosexualidad_ley,55,7555,0.73,30_uganda_museveni_homosexualidad_ley
2023,31,31_agresión_pareja_observatorio_pareja gay,12,7555,0.16,31_agresión_pareja_observatorio_pareja gay
2023,32,32_iglesia_vaticano_papa_sacerdote,8,7555,0.11,Iglesia y Vaticano
2023,33,33_protocolo_educativa_centros_identidad,6,7555,0.08,33_protocolo_educativa_centros_identidad
2023,34,34_turismo_fitur_destino_oferta,25,7555,0.33,34_turismo_fitur_destino_oferta
2023,35,35_vox_pp_lgtbi_investidura,38,7555,0.5,35_vox_pp_lgtbi_investidura
2023,36,36_literatura_novela_libro_stuart,19,7555,0.25,36_literatura_novela_libro_stuart
2023,37,37_trabajo_personas_laboral_empresas,51,7555,0.68,37_trabajo_personas_laboral_empresas
2023,38,38_psoe_lgtbi_derechos_vox,64,7555,0.85,38_psoe_lgtbi_derechos_vox
2023,39,39_marruecos_marroquí_rabat_marroquíes,9,7555,0.12,39_marruecos_marroquí_rabat_marroquíes
2023,40,40_miss_jenner_caitlyn_ángela,12,7555,0.16,40_miss_jenner_caitlyn_ángela
2023,41,41_jerusalén_israelí_israel_marcha,38,7555,0.5,41_jerusalén_israelí_israel_marcha
2023,42,42_estambul_turca_turquía_policía,4,7555,0.05,42_estambul_turca_turquía_policía
2023,43,43_madurez_menores_registro_tribunal,3,7555,0.04,43_madurez_menores_registro_tribunal
2023,44,44_agresión_transexual_policía_odio,24,7555,0.32,44_agresión_transexual_policía_odio
2023,45,45_bendición_iglesia_papa_bendiciones,59,7555,0.78,45_bendición_iglesia_papa_bendiciones
