Comunidades autónomas,Tipología penal,Ámbito,Calificación,periodo,Total
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,INFRACC. PENALES,2022,1.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,INFRACC. PENALES,2021,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,INFRACC. PENALES,2020,1.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,INFRACC. PENALES,2019,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,INFRACC. PENALES,2018,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,INFRACC. PENALES,2017,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,INFRACC. PENALES,2016,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,INFRACC. PENALES,2015,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,INFRACC. PENALES,2014,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2024,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2023,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2022,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2021,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2020,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2019,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2018,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2017,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2016,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2015,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2014,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,TOTAL calificación,2024,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,TOTAL calificación,2023,2.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,TOTAL calificación,2022,1.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,TOTAL calificación,2021,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,TOTAL calificación,2020,1.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,TOTAL calificación,2019,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,TOTAL calificación,2018,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,TOTAL calificación,2017,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,TOTAL calificación,2016,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,TOTAL calificación,2015,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,TOTAL calificación,2014,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,INFRACC. PENALES,2024,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,INFRACC. PENALES,2023,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,INFRACC. PENALES,2022,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,INFRACC. PENALES,2021,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,INFRACC. PENALES,2020,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,INFRACC. PENALES,2019,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,INFRACC. PENALES,2018,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,INFRACC. PENALES,2017,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,INFRACC. PENALES,2016,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,INFRACC. PENALES,2015,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,INFRACC. PENALES,2014,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2024,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2023,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2022,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2021,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2020,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2019,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2018,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2017,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2016,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2015,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2014,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,TOTAL calificación,2024,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,TOTAL calificación,2023,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,TOTAL calificación,2022,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,TOTAL calificación,2021,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,TOTAL calificación,2020,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,TOTAL calificación,2019,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,TOTAL calificación,2018,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,TOTAL calificación,2017,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,TOTAL calificación,2016,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,TOTAL calificación,2015,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,IDEOLOGIA,TOTAL calificación,2014,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,INFRACC. PENALES,2024,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,INFRACC. PENALES,2023,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,INFRACC. PENALES,2022,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,INFRACC. PENALES,2021,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,INFRACC. PENALES,2020,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,INFRACC. PENALES,2019,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,INFRACC. PENALES,2018,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,INFRACC. PENALES,2017,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,INFRACC. PENALES,2016,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,INFRACC. PENALES,2015,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,INFRACC. PENALES,2014,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2024,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2023,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2022,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2021,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2020,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2019,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2018,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2017,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2016,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2015,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2014,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,TOTAL calificación,2024,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,TOTAL calificación,2023,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,TOTAL calificación,2022,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,TOTAL calificación,2021,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,TOTAL calificación,2020,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,TOTAL calificación,2019,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,TOTAL calificación,2018,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,TOTAL calificación,2017,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,TOTAL calificación,2016,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,TOTAL calificación,2015,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ISLAMOFOBIA,TOTAL calificación,2014,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,INFRACC. PENALES,2024,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,INFRACC. PENALES,2023,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,INFRACC. PENALES,2022,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,INFRACC. PENALES,2021,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,INFRACC. PENALES,2020,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,INFRACC. PENALES,2019,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,INFRACC. PENALES,2018,1.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,INFRACC. PENALES,2017,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,INFRACC. PENALES,2016,2.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,INFRACC. PENALES,2015,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,INFRACC. PENALES,2014,18.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2024,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2023,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2022,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2021,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2020,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2019,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2018,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2017,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2016,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2015,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,INFRACC. ADMINISTRAT./ RESTO INCIDENTES,2014,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,TOTAL calificación,2024,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,TOTAL calificación,2023,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,TOTAL calificación,2022,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,TOTAL calificación,2021,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,TOTAL calificación,2020,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,TOTAL calificación,2019,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,TOTAL calificación,2018,1.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,TOTAL calificación,2017,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,TOTAL calificación,2016,2.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,TOTAL calificación,2015,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,TOTAL calificación,2014,18.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,RACISMO/XENOFOBIA,INFRACC. PENALES,2024,0.0
TOTAL NACIONAL,CORRUPCIÓN DE MENORES/CON DISCAPACIDAD/DIVERSIDAD FUNCIONAL,RACISMO/XENOFOBIA,INFRACC. PENALES,2023,0.0
