categoria_revision,año_video,canal,titulo_video,texto,nivel_manual,expresion_detectada,observaciones
inmigracion,2019,Fred De Palma,Fred De Palma &amp; Ana Mena - Se Iluminaba (Official Video),Cantan genial ❤,,,
inmigracion,2019,VOX España,Santiago Abascal desvela a dónde van las ayudas para la vivienda,"Os pido una oración por el pobre aceituno, porque para que le hayan metido en esa lista siendo español... su vida tiene que ser una autentica basura",,,
inmigracion,2019,BBC News Mundo,Valla de Melilla: la peligrosa frontera que separa la UE de África,Creo que la gente de de quedarse en su país y sacar alas empresas extranjeras que son las que hacen que las personas se vallan de sus tierras,,,
inmigracion,2023,Foil Arms and Hog,Getting Past Spanish Immigration,I'm currently on holiday in Spain and these are SO accurate!!,,,
inmigracion,2019,DMAX España,La dictadura franquista a ojos de la comunidad internacional | España después de la Guerra,"No es verdad, que en  esa época hubiera cartillas de racionamiento",,,
inmigracion,2019,Realidades Con Clau,¡LA CANCIÓN QUE HACE LLORAR A INMIGRANTES! &quot;Alex Rivera&quot; &quot;Pedro Rivera&quot; &quot;La Carta&quot; &quot;El Inmigrante&quot;,La verdad si,,,
inmigracion,2019,VOX España,Santiago Abascal desvela a dónde van las ayudas para la vivienda,Vamos!,,,
inmigracion,2023,Foil Arms and Hog,Getting Past Spanish Immigration,"I'm Spanish and I can confirm this is accurate. And now, if you will excuse me, it's time for my third daily siesta ☀️😴🏖",,,
inmigracion,2019,Espacio del Inmigrante,5 MENTIRAS SOBRE LOS MENAS. Menores Extranjeros No Acompañados.,"Vergonzosa la manipulación que hacéis de un problema tan grave y con tantas víctimas detrás, sobre todo niñas, abuelas y turistas, sus principales juguetes. Vomitivo el video. Lo bueno es que, afortunadamente, ya no engañáis a nadie.",,,
inmigracion,2015,DW Español,"Francia: musulmanes, no gracias | Enfoque Europa",hay que respetar el lugar a donde se llega y ya. Los que llegan deben adaptarse y si no les gusta devolverse y listo.,,,
inmigracion,2019,EL PAÍS,ABASCAL (VOX): &quot;La responsabilidad es de la DERECHITA COBARDE&quot;,Grande VOX,,,
inmigracion,2019,VOX España,⚡ Santiago Abascal destroza a Pedro Sánchez en el Congreso,"Este señor me recuerda a Calvo Sotelo y Jose Antonio, ambos grandes oradores, no murieron en cama precisamente,,,cuidese señor Abascal por su bien y el de España",,,
inmigracion,2019,AGENCIA EFE,"España y otros 5 países acogerán a inmigrantes del Open Arms, aún sin puerto",Nuevas manadas,,,
inmigracion,2019,DMAX España,Así era la situación de España justo después de la guerra | España después de la Guerra,El triunfo del fascismo. 🤔,,,
inmigracion,2023,ASIDI Abogados y Tecnicos EXTRANJERIA NACIONALIDAD,Ventaja de chilenos y peruanos para tramitar permiso de trabajo en España,Hola soy CHILENA   sin ciudadanía italiana y voy con mi ESPOSO  italiano a vivir a España  cuales serían mis requisitos,,,
inmigracion,2019,DMAX España,Así era la situación de España justo después de la guerra | España después de la Guerra,La Guerra Civil : Un Viaje a través de las Imágenes --- https://www.youtube.com/watch?v=sr5fcyE8QGk,,,
inmigracion,2019,Fred De Palma,Fred De Palma &amp; Ana Mena - Se Iluminaba (Official Video),😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,,,
inmigracion,2016,laSexta,Una inmigrante: &quot;El examen para conseguir la nacionalidad española es una chorrada&quot;,"Madre mía, no entiendo que pongan estos exámenes los cuales se notan que es regalado, espero que los exámenes sean de una dificultad mayor",,,
inmigracion,2023,Quique Vasquez Historias de Migrantes,Así es vivir en España para inmigrantes 😨No es como la pintan OJO a estos TÉSTIMONIOS  🤔,"Ahora mismo en España la situación es muy dificil para todos 
Esperemos q esto cambie pronto y todos podamos vivir mejor, incluidos los nacidos aqí,porq también lo estamis pasando mal
Bienvenido todos los q venis para revertir esta situación y de paso también la vuestra",,,
inmigracion,2019,VOX España,Santiago Abascal desvela a dónde van las ayudas para la vivienda,"No desvelas nada Abascal. Solo manipulas como el resto de políticos, igualito...",,,
inmigracion,2019,Madridiario,La postura de VOX Madrid sobre la inmigración,"soy de Chile y solo les puedo decir q esta mujer es muy sensata, y que desde Santiago les deseo que vuelvan a ser la España antes de la crisis, un abrazo a la madre patria",,,
inmigracion,2019,euronews (en español),La policía española halla personas escondidas en colchones para cruzar clandestinamente la frontera,😱😱😱😱😱😱,,,
inmigracion,2023,Quique Vasquez Historias de Migrantes,Así es vivir en España para inmigrantes 😨No es como la pintan OJO a estos TÉSTIMONIOS  🤔,"Para los varones es mas duro encontrar trabajo. Las mujeres pues encuentran trabajo de interna. Se pasa penas pero cuando te ubicas ves los frutos de tus esfuerzos. Salir de tu pais, pues es lógico q vas a empezar de nuevo donde vayas",,,
inmigracion,2019,Fred De Palma,Fred De Palma &amp; Ana Mena - Se Iluminaba (Official Video),Esta super chulaaaaa os amooo,,,
inmigracion,2023,TRAVEL LUKE,📈 RANKING PAÍSES con MÁS INMIGRANTES en ESPAÑA 🇪🇸,Saludos desde Colombia 🇪🇸❤🇨🇴,,,
inmigracion,2023,The Wild Project,¿Es España un país racista?,Córdoba Argentina?,,,
inmigracion,2016,laSexta,Una inmigrante: &quot;El examen para conseguir la nacionalidad española es una chorrada&quot;,Muy fácil el examen,,,
inmigracion,2019,VOX España,Santiago Abascal desvela a dónde van las ayudas para la vivienda,Magistral Don Santiago.,,,
inmigracion,2019,VOX España,El vídeo que los progres y las mafias de la inmigración no quieren que veas,"Vamosssss, Vox. Cada día con más fuerzas y sin miedo a decir lo que muchos pensamos. Olé tú, Santiago.",,,
inmigracion,2019,VOX España,Santiago Abascal en tierras gallegas con la España Viva,VOX e o futuro pa un  mellor País grande e unido Viva VOX e todos os que apollamos oas suas reivindicacions todas ellas de sentido común,,,
inmigracion,2019,VOX España,⚡ Santiago Abascal destroza a Pedro Sánchez en el Congreso,"El otro día vi como cortaban naranjos en Valencia, no pueden ya mantenerlos, y nosotros comiendo naranjas de África. 😢",,,
inmigracion,2023,Qué Viajecito,NO hagas ESTO en MIGRACIONES | #Shorts #migracion,Esas fotos que te toman para que son?,,,
inmigracion,2019,VOX España,🇪🇸 Minuto de Oro de Santiago Abascal 🇪🇸,"Me ha encantado el sobre de propaganda electoral, me encantaría ver la cara que se les queda a los independentistas y a los de la izquierda abertzale cuando abran el buzón de sus casas ajajajaj

Viva España 🇪🇸.
Viva VOX 💚.",,,
inmigracion,2023,David Placer,GALICIA busca MIGRANTES y les ofrece ¡TRABAJO FIJO!,Como se comienza el trMite,,,
inmigracion,2019,Realidades Con Clau,¡LA CANCIÓN QUE HACE LLORAR A INMIGRANTES! &quot;Alex Rivera&quot; &quot;Pedro Rivera&quot; &quot;La Carta&quot; &quot;El Inmigrante&quot;,"Me hizo llorar, es una hermosa canción",,,
