comunidad,indicador,año,valor
La Rioja,Desigualdad (S80/S20),2016,4.6
La Rioja,Desigualdad (S80/S20),2015,5.5
La Rioja,Desigualdad (S80/S20),2014,6.4
La Rioja,Desigualdad (S80/S20),2013,6.8
La Rioja,Desigualdad (S80/S20),2012,5.9
La Rioja,Desigualdad (S80/S20),2011,6.2
La Rioja,Desigualdad (S80/S20),2010,5.5
La Rioja,Desigualdad (S80/S20),2009,5.1
La Rioja,Desigualdad (S80/S20),2008,4.3
La Rioja,Gini,2025,28.4
La Rioja,Gini,2024,29.0
La Rioja,Gini,2023,28.3
La Rioja,Gini,2022,28.2
La Rioja,Gini,2021,29.3
La Rioja,Gini,2020,28.2
La Rioja,Gini,2019,29.3
La Rioja,Gini,2018,30.5
La Rioja,Gini,2017,28.3
La Rioja,Gini,2016,28.5
La Rioja,Gini,2015,31.1
La Rioja,Gini,2014,31.9
La Rioja,Gini,2013,31.7
La Rioja,Gini,2012,31.8
La Rioja,Gini,2011,31.5
La Rioja,Gini,2010,30.0
La Rioja,Gini,2009,31.5
La Rioja,Gini,2008,28.5
Ceuta,Desigualdad (S80/S20),2025,7.4
Ceuta,Desigualdad (S80/S20),2024,9.4
Ceuta,Desigualdad (S80/S20),2023,9.6
Ceuta,Desigualdad (S80/S20),2022,11.0
Ceuta,Desigualdad (S80/S20),2021,9.5
Ceuta,Desigualdad (S80/S20),2020,10.7
Ceuta,Desigualdad (S80/S20),2019,11.5
Ceuta,Desigualdad (S80/S20),2018,10.3
Ceuta,Desigualdad (S80/S20),2017,11.5
Ceuta,Desigualdad (S80/S20),2016,6.3
Ceuta,Desigualdad (S80/S20),2015,7.1
Ceuta,Desigualdad (S80/S20),2014,9.2
Ceuta,Desigualdad (S80/S20),2013,10.9
Ceuta,Desigualdad (S80/S20),2012,10.8
Ceuta,Desigualdad (S80/S20),2011,8.1
Ceuta,Desigualdad (S80/S20),2010,8.3
Ceuta,Desigualdad (S80/S20),2009,15.0
Ceuta,Desigualdad (S80/S20),2008,10.9
Ceuta,Gini,2025,37.1
Ceuta,Gini,2024,39.9
Ceuta,Gini,2023,40.4
Ceuta,Gini,2022,42.4
Ceuta,Gini,2021,39.7
Ceuta,Gini,2020,40.0
Ceuta,Gini,2019,41.9
