Comunidades y ciudades autónomas;Sexo;Nacionalidad;País de nacimiento;Periodo;Total
07 Castilla y León;Total;Extranjera;Total;1 de abril de 2023;171.672
07 Castilla y León;Total;Extranjera;Total;1 de enero de 2023;167.934
07 Castilla y León;Total;Extranjera;Total;1 de octubre de 2022;162.270
07 Castilla y León;Total;Extranjera;Total;1 de julio de 2022;157.068
07 Castilla y León;Total;Extranjera;Total;1 de abril de 2022;150.917
07 Castilla y León;Total;Extranjera;Total;1 de enero de 2022;146.999
07 Castilla y León;Total;Extranjera;Total;1 de octubre de 2021;144.217
07 Castilla y León;Total;Extranjera;Total;1 de julio de 2021;142.369
07 Castilla y León;Total;Extranjera;Total;1 de abril de 2021;143.968
07 Castilla y León;Total;Extranjera;Total;1 de enero de 2021;144.128
07 Castilla y León;Total;Extranjera;Total;1 de octubre de 2020;""
07 Castilla y León;Total;Extranjera;Total;1 de julio de 2020;142.473
07 Castilla y León;Total;Extranjera;Total;1 de abril de 2020;""
07 Castilla y León;Total;Extranjera;Total;1 de enero de 2020;139.686
07 Castilla y León;Total;Extranjera;Total;1 de octubre de 2019;""
07 Castilla y León;Total;Extranjera;Total;1 de julio de 2019;134.232
07 Castilla y León;Total;Extranjera;Total;1 de abril de 2019;""
07 Castilla y León;Total;Extranjera;Total;1 de enero de 2019;130.820
07 Castilla y León;Total;Extranjera;Total;1 de octubre de 2018;""
07 Castilla y León;Total;Extranjera;Total;1 de julio de 2018;128.117
07 Castilla y León;Total;Extranjera;Total;1 de abril de 2018;""
07 Castilla y León;Total;Extranjera;Total;1 de enero de 2018;127.101
07 Castilla y León;Total;Extranjera;Total;1 de octubre de 2017;""
07 Castilla y León;Total;Extranjera;Total;1 de julio de 2017;124.754
07 Castilla y León;Total;Extranjera;Total;1 de abril de 2017;""
07 Castilla y León;Total;Extranjera;Total;1 de enero de 2017;126.030
07 Castilla y León;Total;Extranjera;Total;1 de octubre de 2016;""
07 Castilla y León;Total;Extranjera;Total;1 de julio de 2016;127.110
07 Castilla y León;Total;Extranjera;Total;1 de abril de 2016;""
07 Castilla y León;Total;Extranjera;Total;1 de enero de 2016;130.703
07 Castilla y León;Total;Extranjera;Total;1 de octubre de 2015;""
07 Castilla y León;Total;Extranjera;Total;1 de julio de 2015;132.620
07 Castilla y León;Total;Extranjera;Total;1 de abril de 2015;""
07 Castilla y León;Total;Extranjera;Total;1 de enero de 2015;135.448
07 Castilla y León;Total;Extranjera;Total;1 de octubre de 2014;""
07 Castilla y León;Total;Extranjera;Total;1 de julio de 2014;137.466
07 Castilla y León;Total;Extranjera;Total;1 de abril de 2014;""
07 Castilla y León;Total;Extranjera;Total;1 de enero de 2014;142.021
08 Castilla - La Mancha;Total;Extranjera;Total;1 de enero de 2025;256.586
08 Castilla - La Mancha;Total;Extranjera;Total;1 de octubre de 2024;251.511
08 Castilla - La Mancha;Total;Extranjera;Total;1 de julio de 2024;245.660
08 Castilla - La Mancha;Total;Extranjera;Total;1 de abril de 2024;241.245
08 Castilla - La Mancha;Total;Extranjera;Total;1 de enero de 2024;237.904
08 Castilla - La Mancha;Total;Extranjera;Total;1 de octubre de 2023;233.628
08 Castilla - La Mancha;Total;Extranjera;Total;1 de julio de 2023;228.476
08 Castilla - La Mancha;Total;Extranjera;Total;1 de abril de 2023;225.064
08 Castilla - La Mancha;Total;Extranjera;Total;1 de enero de 2023;220.173
08 Castilla - La Mancha;Total;Extranjera;Total;1 de octubre de 2022;213.141
08 Castilla - La Mancha;Total;Extranjera;Total;1 de julio de 2022;207.032
08 Castilla - La Mancha;Total;Extranjera;Total;1 de abril de 2022;200.428
08 Castilla - La Mancha;Total;Extranjera;Total;1 de enero de 2022;195.399
