año,mes,ccaa,comunidad,siglas,nombre,votos,diputados
2015,12,17,Comunidad Valenciana,CENTRO MODE,LOS VERDES-ECOPACIFISTAS,3278,0
2015,12,17,Comunidad Valenciana,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,25008,0
2015,12,2,Aragón,EB,ESCAÑOS EN BLANCO,3834,0
2015,12,2,Aragón,RECORTES CE,RECORTES CERO-GRUPO VERDE,1476,0
2015,12,4,Baleares,EL PI,EL PI - PROPOSTA PER LES ILLES,12910,0
2015,12,6,Cantabria,RECORTES CE,RECORTES CERO-GRUPO VERDE,529,0
2015,12,8,Castilla y León,PREPAL,PARTIDO REGIONALISTA DEL PAÍS LEONES,1419,0
2015,12,8,Castilla y León,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,13096,0
2015,12,9,Cataluña,DL,DEMOCRÀCIA I LLIBERTAT. CONVERGÈNCIA. DEMÒCRATES.,567253,8
2015,12,10,Extremadura,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",19590,0
2015,12,11,Galicia,PSdeG-PSOE,PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE,350220,6
2015,12,15,Murcia,PP,PARTIDO POPULAR,293943,5
2015,12,15,Murcia,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",22767,0
2015,12,17,Comunidad Valenciana,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,17303,0
2015,12,18,Ceuta,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,197,0
2015,12,1,Andalucía,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,40879,0
2015,12,3,Asturias,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,4555,0
2015,12,7,Castilla-La Mancha,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,161083,3
2015,12,8,Castilla y León,EB,ESCAÑOS EN BLANCO,182,0
2015,12,8,Castilla y León,PODEMOS,PODEMOS,227577,3
2015,12,11,Galicia,PP,PARTIDO POPULAR,609623,10
2015,12,11,Galicia,X LA IZQUIE,X LA IZQUIERDA-LOS VERDES,873,0
2015,12,13,Navarra,EH Bildu,EUSKAL HERRIA BILDU,34939,0
2015,12,16,La Rioja,RECORTES CE,RECORTES CERO-GRUPO VERDE,360,0
2015,12,17,Comunidad Valenciana,RECORTES CE,RECORTES CERO-GRUPO VERDE,5011,0
