Comunidades autónomas;Grupo penal;periodo;Total
CASTILLA - LA MANCHA;TOTAL grupo penal;2019;7.687
CASTILLA - LA MANCHA;TOTAL grupo penal;2018;6.006
CASTILLA - LA MANCHA;TOTAL grupo penal;2017;3.933
CASTILLA - LA MANCHA;TOTAL grupo penal;2016;3.184
CASTILLA - LA MANCHA;TOTAL grupo penal;2015;3.093
CASTILLA - LA MANCHA;TOTAL grupo penal;2014;2.564
CASTILLA - LA MANCHA;TOTAL grupo penal;2013;2.227
CASTILLA - LA MANCHA;TOTAL grupo penal;2012;1.996
CASTILLA - LA MANCHA;TOTAL grupo penal;2011;1.814
CATALUÑA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;776
CATALUÑA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;822
CATALUÑA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;818
CATALUÑA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2021;859
CATALUÑA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2020;659
CATALUÑA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2019;508
CATALUÑA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2018;475
CATALUÑA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2017;516
CATALUÑA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2016;532
CATALUÑA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2015;407
CATALUÑA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2014;26
CATALUÑA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2013;10
CATALUÑA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2012;17
CATALUÑA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2011;17
CATALUÑA;AMENAZAS Y COACCIONES;2024;925
CATALUÑA;AMENAZAS Y COACCIONES;2023;703
CATALUÑA;AMENAZAS Y COACCIONES;2022;734
CATALUÑA;AMENAZAS Y COACCIONES;2021;918
CATALUÑA;AMENAZAS Y COACCIONES;2020;595
CATALUÑA;AMENAZAS Y COACCIONES;2019;507
CATALUÑA;AMENAZAS Y COACCIONES;2018;558
CATALUÑA;AMENAZAS Y COACCIONES;2017;355
CATALUÑA;AMENAZAS Y COACCIONES;2016;385
CATALUÑA;AMENAZAS Y COACCIONES;2015;322
CATALUÑA;AMENAZAS Y COACCIONES;2014;39
CATALUÑA;AMENAZAS Y COACCIONES;2013;35
CATALUÑA;AMENAZAS Y COACCIONES;2012;33
CATALUÑA;AMENAZAS Y COACCIONES;2011;20
CATALUÑA;CONTRA EL HONOR;2024;20
CATALUÑA;CONTRA EL HONOR;2023;14
CATALUÑA;CONTRA EL HONOR;2022;13
CATALUÑA;CONTRA EL HONOR;2021;34
CATALUÑA;CONTRA EL HONOR;2020;26
CATALUÑA;CONTRA EL HONOR;2019;28
CATALUÑA;CONTRA EL HONOR;2018;35
CATALUÑA;CONTRA EL HONOR;2017;42
CATALUÑA;CONTRA EL HONOR;2016;32
CATALUÑA;CONTRA EL HONOR;2015;85
CATALUÑA;CONTRA EL HONOR;2014;11
CATALUÑA;CONTRA EL HONOR;2013;18
CATALUÑA;CONTRA EL HONOR;2012;19
CATALUÑA;CONTRA EL HONOR;2011;14
CATALUÑA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;26
CATALUÑA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;8
CATALUÑA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;16
CATALUÑA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2021;14
CATALUÑA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2020;7
CATALUÑA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2019;17
CATALUÑA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2018;47
CATALUÑA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2017;24
CATALUÑA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2016;23
CATALUÑA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2015;33
CATALUÑA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2014;60
CATALUÑA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2013;39
CATALUÑA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2012;20
CATALUÑA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2011;26
CATALUÑA;DELITOS SEXUALES;2024;185
CATALUÑA;DELITOS SEXUALES;2023;144
CATALUÑA;DELITOS SEXUALES;2022;175
CATALUÑA;DELITOS SEXUALES;2021;138
CATALUÑA;DELITOS SEXUALES;2020;162
CATALUÑA;DELITOS SEXUALES;2019;218
CATALUÑA;DELITOS SEXUALES;2018;218
CATALUÑA;DELITOS SEXUALES;2017;111
CATALUÑA;DELITOS SEXUALES;2016;108
CATALUÑA;DELITOS SEXUALES;2015;166
CATALUÑA;DELITOS SEXUALES;2014;92
CATALUÑA;DELITOS SEXUALES;2013;41
CATALUÑA;DELITOS SEXUALES;2012;74
CATALUÑA;DELITOS SEXUALES;2011;73
CATALUÑA;FALSIFICACIÓN INFORMÁTICA;2024;1.933
CATALUÑA;FALSIFICACIÓN INFORMÁTICA;2023;430
CATALUÑA;FALSIFICACIÓN INFORMÁTICA;2022;429
CATALUÑA;FALSIFICACIÓN INFORMÁTICA;2021;345
CATALUÑA;FALSIFICACIÓN INFORMÁTICA;2020;215
CATALUÑA;FALSIFICACIÓN INFORMÁTICA;2019;130
CATALUÑA;FALSIFICACIÓN INFORMÁTICA;2018;103
CATALUÑA;FALSIFICACIÓN INFORMÁTICA;2017;123
CATALUÑA;FALSIFICACIÓN INFORMÁTICA;2016;113
CATALUÑA;FALSIFICACIÓN INFORMÁTICA;2015;97
CATALUÑA;FALSIFICACIÓN INFORMÁTICA;2014;56
CATALUÑA;FALSIFICACIÓN INFORMÁTICA;2013;53
CATALUÑA;FALSIFICACIÓN INFORMÁTICA;2012;47
CATALUÑA;FALSIFICACIÓN INFORMÁTICA;2011;45
CATALUÑA;FRAUDE INFORMÁTICO;2024;72.139
CATALUÑA;FRAUDE INFORMÁTICO;2023;73.994
CATALUÑA;FRAUDE INFORMÁTICO;2022;61.607
CATALUÑA;FRAUDE INFORMÁTICO;2021;47.314
CATALUÑA;FRAUDE INFORMÁTICO;2020;46.982
CATALUÑA;FRAUDE INFORMÁTICO;2019;40.016
CATALUÑA;FRAUDE INFORMÁTICO;2018;36.808
CATALUÑA;FRAUDE INFORMÁTICO;2017;26.574
CATALUÑA;FRAUDE INFORMÁTICO;2016;18.077
CATALUÑA;FRAUDE INFORMÁTICO;2015;15.791
CATALUÑA;FRAUDE INFORMÁTICO;2014;593
CATALUÑA;FRAUDE INFORMÁTICO;2013;585
CATALUÑA;FRAUDE INFORMÁTICO;2012;583
CATALUÑA;FRAUDE INFORMÁTICO;2011;491
CATALUÑA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;75
CATALUÑA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;98
CATALUÑA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;85
CATALUÑA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2021;133
CATALUÑA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2020;148
CATALUÑA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2019;153
CATALUÑA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2018;125
CATALUÑA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2017;136
CATALUÑA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2016;164
CATALUÑA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2015;203
CATALUÑA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2014;3
CATALUÑA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2013;11
CATALUÑA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2012;10
CATALUÑA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2011;2
CATALUÑA;TOTAL grupo penal;2024;76.079
CATALUÑA;TOTAL grupo penal;2023;76.213
CATALUÑA;TOTAL grupo penal;2022;63.877
CATALUÑA;TOTAL grupo penal;2021;49.755
CATALUÑA;TOTAL grupo penal;2020;48.794
CATALUÑA;TOTAL grupo penal;2019;41.577
CATALUÑA;TOTAL grupo penal;2018;38.369
CATALUÑA;TOTAL grupo penal;2017;27.881
CATALUÑA;TOTAL grupo penal;2016;19.434
CATALUÑA;TOTAL grupo penal;2015;17.104
CATALUÑA;TOTAL grupo penal;2014;880
CATALUÑA;TOTAL grupo penal;2013;792
CATALUÑA;TOTAL grupo penal;2012;803
CATALUÑA;TOTAL grupo penal;2011;688
COMUNITAT VALENCIANA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;1.007
COMUNITAT VALENCIANA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;788
COMUNITAT VALENCIANA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;526
COMUNITAT VALENCIANA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2021;446
COMUNITAT VALENCIANA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2020;435
COMUNITAT VALENCIANA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2019;342
COMUNITAT VALENCIANA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2018;300
COMUNITAT VALENCIANA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2017;291
COMUNITAT VALENCIANA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2016;301
COMUNITAT VALENCIANA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2015;255
COMUNITAT VALENCIANA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2014;211
COMUNITAT VALENCIANA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2013;184
COMUNITAT VALENCIANA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2012;190
COMUNITAT VALENCIANA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2011;137
COMUNITAT VALENCIANA;AMENAZAS Y COACCIONES;2024;2.009
COMUNITAT VALENCIANA;AMENAZAS Y COACCIONES;2023;2.045
COMUNITAT VALENCIANA;AMENAZAS Y COACCIONES;2022;1.974
COMUNITAT VALENCIANA;AMENAZAS Y COACCIONES;2021;2.198
COMUNITAT VALENCIANA;AMENAZAS Y COACCIONES;2020;1.779
COMUNITAT VALENCIANA;AMENAZAS Y COACCIONES;2019;1.575
COMUNITAT VALENCIANA;AMENAZAS Y COACCIONES;2018;1.602
COMUNITAT VALENCIANA;AMENAZAS Y COACCIONES;2017;1.525
COMUNITAT VALENCIANA;AMENAZAS Y COACCIONES;2016;1.445
COMUNITAT VALENCIANA;AMENAZAS Y COACCIONES;2015;1.264
COMUNITAT VALENCIANA;AMENAZAS Y COACCIONES;2014;1.240
COMUNITAT VALENCIANA;AMENAZAS Y COACCIONES;2013;1.119
COMUNITAT VALENCIANA;AMENAZAS Y COACCIONES;2012;1.152
COMUNITAT VALENCIANA;AMENAZAS Y COACCIONES;2011;1.178
COMUNITAT VALENCIANA;CONTRA EL HONOR;2024;105
COMUNITAT VALENCIANA;CONTRA EL HONOR;2023;128
COMUNITAT VALENCIANA;CONTRA EL HONOR;2022;144
COMUNITAT VALENCIANA;CONTRA EL HONOR;2021;198
COMUNITAT VALENCIANA;CONTRA EL HONOR;2020;214
COMUNITAT VALENCIANA;CONTRA EL HONOR;2019;216
COMUNITAT VALENCIANA;CONTRA EL HONOR;2018;186
COMUNITAT VALENCIANA;CONTRA EL HONOR;2017;221
COMUNITAT VALENCIANA;CONTRA EL HONOR;2016;212
COMUNITAT VALENCIANA;CONTRA EL HONOR;2015;324
COMUNITAT VALENCIANA;CONTRA EL HONOR;2014;326
COMUNITAT VALENCIANA;CONTRA EL HONOR;2013;292
COMUNITAT VALENCIANA;CONTRA EL HONOR;2012;296
COMUNITAT VALENCIANA;CONTRA EL HONOR;2011;258
COMUNITAT VALENCIANA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;41
COMUNITAT VALENCIANA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;17
COMUNITAT VALENCIANA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;11
COMUNITAT VALENCIANA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2021;14
COMUNITAT VALENCIANA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2020;20
COMUNITAT VALENCIANA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2019;31
COMUNITAT VALENCIANA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2018;46
COMUNITAT VALENCIANA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2017;22
COMUNITAT VALENCIANA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2016;17
COMUNITAT VALENCIANA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2015;18
COMUNITAT VALENCIANA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2014;19
COMUNITAT VALENCIANA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2013;18
COMUNITAT VALENCIANA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2012;25
COMUNITAT VALENCIANA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2011;23
COMUNITAT VALENCIANA;DELITOS SEXUALES;2024;199
COMUNITAT VALENCIANA;DELITOS SEXUALES;2023;190
COMUNITAT VALENCIANA;DELITOS SEXUALES;2022;193
COMUNITAT VALENCIANA;DELITOS SEXUALES;2021;223
COMUNITAT VALENCIANA;DELITOS SEXUALES;2020;192
COMUNITAT VALENCIANA;DELITOS SEXUALES;2019;238
COMUNITAT VALENCIANA;DELITOS SEXUALES;2018;170
COMUNITAT VALENCIANA;DELITOS SEXUALES;2017;188
COMUNITAT VALENCIANA;DELITOS SEXUALES;2016;190
COMUNITAT VALENCIANA;DELITOS SEXUALES;2015;215
COMUNITAT VALENCIANA;DELITOS SEXUALES;2014;145
COMUNITAT VALENCIANA;DELITOS SEXUALES;2013;127
COMUNITAT VALENCIANA;DELITOS SEXUALES;2012;107
COMUNITAT VALENCIANA;DELITOS SEXUALES;2011;135
COMUNITAT VALENCIANA;FALSIFICACIÓN INFORMÁTICA;2024;2.386
COMUNITAT VALENCIANA;FALSIFICACIÓN INFORMÁTICA;2023;2.366
COMUNITAT VALENCIANA;FALSIFICACIÓN INFORMÁTICA;2022;1.860
COMUNITAT VALENCIANA;FALSIFICACIÓN INFORMÁTICA;2021;1.667
COMUNITAT VALENCIANA;FALSIFICACIÓN INFORMÁTICA;2020;956
COMUNITAT VALENCIANA;FALSIFICACIÓN INFORMÁTICA;2019;656
COMUNITAT VALENCIANA;FALSIFICACIÓN INFORMÁTICA;2018;480
COMUNITAT VALENCIANA;FALSIFICACIÓN INFORMÁTICA;2017;466
COMUNITAT VALENCIANA;FALSIFICACIÓN INFORMÁTICA;2016;491
COMUNITAT VALENCIANA;FALSIFICACIÓN INFORMÁTICA;2015;345
COMUNITAT VALENCIANA;FALSIFICACIÓN INFORMÁTICA;2014;264
COMUNITAT VALENCIANA;FALSIFICACIÓN INFORMÁTICA;2013;237
COMUNITAT VALENCIANA;FALSIFICACIÓN INFORMÁTICA;2012;270
COMUNITAT VALENCIANA;FALSIFICACIÓN INFORMÁTICA;2011;339
COMUNITAT VALENCIANA;FRAUDE INFORMÁTICO;2024;40.723
COMUNITAT VALENCIANA;FRAUDE INFORMÁTICO;2023;41.313
COMUNITAT VALENCIANA;FRAUDE INFORMÁTICO;2022;29.040
COMUNITAT VALENCIANA;FRAUDE INFORMÁTICO;2021;24.428
COMUNITAT VALENCIANA;FRAUDE INFORMÁTICO;2020;21.917
COMUNITAT VALENCIANA;FRAUDE INFORMÁTICO;2019;15.758
COMUNITAT VALENCIANA;FRAUDE INFORMÁTICO;2018;11.283
COMUNITAT VALENCIANA;FRAUDE INFORMÁTICO;2017;7.989
COMUNITAT VALENCIANA;FRAUDE INFORMÁTICO;2016;6.246
COMUNITAT VALENCIANA;FRAUDE INFORMÁTICO;2015;5.004
COMUNITAT VALENCIANA;FRAUDE INFORMÁTICO;2014;3.898
COMUNITAT VALENCIANA;FRAUDE INFORMÁTICO;2013;3.133
COMUNITAT VALENCIANA;FRAUDE INFORMÁTICO;2012;3.193
COMUNITAT VALENCIANA;FRAUDE INFORMÁTICO;2011;2.451
COMUNITAT VALENCIANA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;237
COMUNITAT VALENCIANA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;213
COMUNITAT VALENCIANA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;257
COMUNITAT VALENCIANA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2021;334
COMUNITAT VALENCIANA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2020;219
COMUNITAT VALENCIANA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2019;167
COMUNITAT VALENCIANA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2018;122
COMUNITAT VALENCIANA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2017;140
COMUNITAT VALENCIANA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2016;141
COMUNITAT VALENCIANA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2015;176
COMUNITAT VALENCIANA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2014;71
COMUNITAT VALENCIANA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2013;36
COMUNITAT VALENCIANA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2012;45
COMUNITAT VALENCIANA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2011;38
COMUNITAT VALENCIANA;TOTAL grupo penal;2024;46.707
COMUNITAT VALENCIANA;TOTAL grupo penal;2023;47.060
COMUNITAT VALENCIANA;TOTAL grupo penal;2022;34.005
COMUNITAT VALENCIANA;TOTAL grupo penal;2021;29.508
COMUNITAT VALENCIANA;TOTAL grupo penal;2020;25.732
COMUNITAT VALENCIANA;TOTAL grupo penal;2019;18.983
COMUNITAT VALENCIANA;TOTAL grupo penal;2018;14.189
COMUNITAT VALENCIANA;TOTAL grupo penal;2017;10.842
COMUNITAT VALENCIANA;TOTAL grupo penal;2016;9.043
COMUNITAT VALENCIANA;TOTAL grupo penal;2015;7.601
COMUNITAT VALENCIANA;TOTAL grupo penal;2014;6.174
COMUNITAT VALENCIANA;TOTAL grupo penal;2013;5.146
COMUNITAT VALENCIANA;TOTAL grupo penal;2012;5.278
COMUNITAT VALENCIANA;TOTAL grupo penal;2011;4.559
EXTREMADURA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;233
EXTREMADURA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;179
EXTREMADURA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;114
EXTREMADURA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2021;109
EXTREMADURA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2020;104
EXTREMADURA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2019;79
EXTREMADURA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2018;74
EXTREMADURA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2017;66
EXTREMADURA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2016;61
EXTREMADURA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2015;68
EXTREMADURA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2014;54
EXTREMADURA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2013;50
EXTREMADURA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2012;57
EXTREMADURA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2011;55
EXTREMADURA;AMENAZAS Y COACCIONES;2024;518
EXTREMADURA;AMENAZAS Y COACCIONES;2023;444
EXTREMADURA;AMENAZAS Y COACCIONES;2022;360
EXTREMADURA;AMENAZAS Y COACCIONES;2021;394
EXTREMADURA;AMENAZAS Y COACCIONES;2020;303
EXTREMADURA;AMENAZAS Y COACCIONES;2019;295
EXTREMADURA;AMENAZAS Y COACCIONES;2018;316
EXTREMADURA;AMENAZAS Y COACCIONES;2017;274
EXTREMADURA;AMENAZAS Y COACCIONES;2016;254
EXTREMADURA;AMENAZAS Y COACCIONES;2015;199
EXTREMADURA;AMENAZAS Y COACCIONES;2014;196
EXTREMADURA;AMENAZAS Y COACCIONES;2013;179
EXTREMADURA;AMENAZAS Y COACCIONES;2012;164
EXTREMADURA;AMENAZAS Y COACCIONES;2011;204
EXTREMADURA;CONTRA EL HONOR;2024;71
EXTREMADURA;CONTRA EL HONOR;2023;45
EXTREMADURA;CONTRA EL HONOR;2022;43
EXTREMADURA;CONTRA EL HONOR;2021;44
EXTREMADURA;CONTRA EL HONOR;2020;43
EXTREMADURA;CONTRA EL HONOR;2019;51
EXTREMADURA;CONTRA EL HONOR;2018;51
EXTREMADURA;CONTRA EL HONOR;2017;59
EXTREMADURA;CONTRA EL HONOR;2016;44
EXTREMADURA;CONTRA EL HONOR;2015;57
EXTREMADURA;CONTRA EL HONOR;2014;83
EXTREMADURA;CONTRA EL HONOR;2013;57
EXTREMADURA;CONTRA EL HONOR;2012;75
EXTREMADURA;CONTRA EL HONOR;2011;87
EXTREMADURA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;2
EXTREMADURA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;3
EXTREMADURA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;2
EXTREMADURA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2021;7
EXTREMADURA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2020;5
EXTREMADURA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2019;12
EXTREMADURA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2018;14
EXTREMADURA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2017;2
EXTREMADURA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2016;1
EXTREMADURA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2015;2
EXTREMADURA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2014;2
EXTREMADURA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2013;3
EXTREMADURA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2012;6
EXTREMADURA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2011;4
EXTREMADURA;DELITOS SEXUALES;2024;36
EXTREMADURA;DELITOS SEXUALES;2023;49
EXTREMADURA;DELITOS SEXUALES;2022;35
EXTREMADURA;DELITOS SEXUALES;2021;37
EXTREMADURA;DELITOS SEXUALES;2020;26
EXTREMADURA;DELITOS SEXUALES;2019;25
EXTREMADURA;DELITOS SEXUALES;2018;31
EXTREMADURA;DELITOS SEXUALES;2017;33
EXTREMADURA;DELITOS SEXUALES;2016;24
EXTREMADURA;DELITOS SEXUALES;2015;32
EXTREMADURA;DELITOS SEXUALES;2014;31
EXTREMADURA;DELITOS SEXUALES;2013;16
EXTREMADURA;DELITOS SEXUALES;2012;11
EXTREMADURA;DELITOS SEXUALES;2011;18
EXTREMADURA;FALSIFICACIÓN INFORMÁTICA;2024;927
EXTREMADURA;FALSIFICACIÓN INFORMÁTICA;2023;610
EXTREMADURA;FALSIFICACIÓN INFORMÁTICA;2022;372
EXTREMADURA;FALSIFICACIÓN INFORMÁTICA;2021;314
EXTREMADURA;FALSIFICACIÓN INFORMÁTICA;2020;206
EXTREMADURA;FALSIFICACIÓN INFORMÁTICA;2019;158
EXTREMADURA;FALSIFICACIÓN INFORMÁTICA;2018;138
EXTREMADURA;FALSIFICACIÓN INFORMÁTICA;2017;102
EXTREMADURA;FALSIFICACIÓN INFORMÁTICA;2016;76
EXTREMADURA;FALSIFICACIÓN INFORMÁTICA;2015;64
EXTREMADURA;FALSIFICACIÓN INFORMÁTICA;2014;74
EXTREMADURA;FALSIFICACIÓN INFORMÁTICA;2013;59
EXTREMADURA;FALSIFICACIÓN INFORMÁTICA;2012;70
EXTREMADURA;FALSIFICACIÓN INFORMÁTICA;2011;56
EXTREMADURA;FRAUDE INFORMÁTICO;2024;7.050
EXTREMADURA;FRAUDE INFORMÁTICO;2023;7.449
EXTREMADURA;FRAUDE INFORMÁTICO;2022;6.577
EXTREMADURA;FRAUDE INFORMÁTICO;2021;4.594
EXTREMADURA;FRAUDE INFORMÁTICO;2020;3.917
EXTREMADURA;FRAUDE INFORMÁTICO;2019;2.410
EXTREMADURA;FRAUDE INFORMÁTICO;2018;1.879
EXTREMADURA;FRAUDE INFORMÁTICO;2017;1.031
EXTREMADURA;FRAUDE INFORMÁTICO;2016;852
EXTREMADURA;FRAUDE INFORMÁTICO;2015;602
EXTREMADURA;FRAUDE INFORMÁTICO;2014;517
EXTREMADURA;FRAUDE INFORMÁTICO;2013;330
EXTREMADURA;FRAUDE INFORMÁTICO;2012;400
EXTREMADURA;FRAUDE INFORMÁTICO;2011;287
EXTREMADURA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;20
EXTREMADURA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;40
EXTREMADURA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;25
EXTREMADURA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2021;39
EXTREMADURA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2020;34
EXTREMADURA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2019;19
EXTREMADURA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2018;17
EXTREMADURA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2017;24
EXTREMADURA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2016;15
EXTREMADURA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2015;12
EXTREMADURA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2014;9
EXTREMADURA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2013;8
EXTREMADURA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2012;6
EXTREMADURA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2011;7
EXTREMADURA;TOTAL grupo penal;2024;8.857
EXTREMADURA;TOTAL grupo penal;2023;8.819
EXTREMADURA;TOTAL grupo penal;2022;7.528
EXTREMADURA;TOTAL grupo penal;2021;5.538
EXTREMADURA;TOTAL grupo penal;2020;4.638
EXTREMADURA;TOTAL grupo penal;2019;3.049
EXTREMADURA;TOTAL grupo penal;2018;2.520
EXTREMADURA;TOTAL grupo penal;2017;1.591
EXTREMADURA;TOTAL grupo penal;2016;1.327
EXTREMADURA;TOTAL grupo penal;2015;1.036
EXTREMADURA;TOTAL grupo penal;2014;966
EXTREMADURA;TOTAL grupo penal;2013;702
EXTREMADURA;TOTAL grupo penal;2012;789
EXTREMADURA;TOTAL grupo penal;2011;718
