;;;;PARO REGISTRADO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
201901;Enero de 2019;1;Andalucía;14;Córdoba;14011;Blázquez, Los;90;5;13;11;6;24;31;6;4;6;69;5
201901;Enero de 2019;1;Andalucía;14;Córdoba;14012;Bujalance;389;16;36;87;47;121;82;143;16;31;168;31
201901;Enero de 2019;1;Andalucía;14;Córdoba;14013;Cabra;1387;48;206;257;83;417;376;155;143;74;890;125
201901;Enero de 2019;1;Andalucía;14;Córdoba;14014;Cañete de las Torres;104;5;14;18;9;35;23;29;3;5;57;10
201901;Enero de 2019;1;Andalucía;14;Córdoba;14015;Carcabuey;118;8;14;23;3;43;27;18;15;4;76;5
201901;Enero de 2019;1;Andalucía;14;Córdoba;14016;Cardeña;106;10;14;25;3;19;35;17;3;12;68;6
201901;Enero de 2019;1;Andalucía;14;Córdoba;14017;Carlota, La;1081;50;184;214;54;340;239;165;77;102;678;59
201901;Enero de 2019;1;Andalucía;14;Córdoba;14018;Carpio, El;435;16;66;89;15;138;111;49;45;33;286;22
201901;Enero de 2019;1;Andalucía;14;Córdoba;14019;Castro del Río;339;16;45;68;24;125;61;57;25;44;179;34
201901;Enero de 2019;1;Andalucía;14;Córdoba;14020;Conquista;26;1;2;3;1;10;9;3;0;10;13;0
201901;Enero de 2019;1;Andalucía;14;Córdoba;14021;Córdoba;34802;1213;5730;7128;1222;8842;10667;1513;2986;2517;24019;3767
201901;Enero de 2019;1;Andalucía;14;Córdoba;14022;Doña Mencía;191;8;29;40;13;68;33;38;17;17;101;18
201901;Enero de 2019;1;Andalucía;14;Córdoba;14023;Dos Torres;226;4;23;39;14;62;84;14;15;54;133;10
201901;Enero de 2019;1;Andalucía;14;Córdoba;14024;Encinas Reales;165;7;25;33;8;55;37;20;21;23;93;8
201901;Enero de 2019;1;Andalucía;14;Córdoba;14025;Espejo;97;6;8;22;11;37;13;11;3;13;61;9
201901;Enero de 2019;1;Andalucía;14;Córdoba;14026;Espiel;251;6;32;40;17;62;94;32;25;41;140;13
201901;Enero de 2019;1;Andalucía;14;Córdoba;14027;Fernán-Núñez;729;30;131;178;39;236;115;91;38;64;458;78
201901;Enero de 2019;1;Andalucía;14;Córdoba;14028;Fuente la Lancha;64;2;13;8;3;16;22;4;1;17;42;0
201901;Enero de 2019;1;Andalucía;14;Córdoba;14029;Fuente Obejuna;671;36;100;134;25;170;206;64;37;64;449;57
201901;Enero de 2019;1;Andalucía;14;Córdoba;14030;Fuente Palmera;629;28;95;140;50;208;108;154;60;70;317;28
201901;Enero de 2019;1;Andalucía;14;Córdoba;14031;Fuente-Tójar;27;1;2;5;5;9;5;2;2;0;21;2
201901;Enero de 2019;1;Andalucía;14;Córdoba;14032;Granjuela, La;67;5;10;10;4;9;29;6;1;30;27;3
201901;Enero de 2019;1;Andalucía;14;Córdoba;14033;Guadalcázar;109;1;16;22;9;40;21;10;7;11;79;2
201901;Enero de 2019;1;Andalucía;14;Córdoba;14034;Guijo, El;27;6;4;5;3;6;3;2;1;0;23;1
201901;Enero de 2019;1;Andalucía;14;Córdoba;14035;Hinojosa del Duque;859;41;90;128;41;238;321;54;76;102;542;85
201901;Enero de 2019;1;Andalucía;14;Córdoba;14036;Hornachuelos;286;8;48;71;15;84;60;63;7;112;99;5
201901;Enero de 2019;1;Andalucía;14;Córdoba;14037;Iznájar;142;4;16;29;14;50;29;19;14;9;90;10
201901;Enero de 2019;1;Andalucía;14;Córdoba;14038;Lucena;4075;182;513;719;204;1421;1036;335;851;207;2341;341
201901;Enero de 2019;1;Andalucía;14;Córdoba;14039;Luque;135;1;13;36;14;40;31;28;10;9;80;8
201901;Enero de 2019;1;Andalucía;14;Córdoba;14040;Montalbán de Córdoba;128;7;16;27;7;56;15;26;16;5;72;9
201901;Enero de 2019;1;Andalucía;14;Córdoba;14041;Montemayor;228;8;37;58;14;89;22;41;23;25;123;16
201901;Enero de 2019;1;Andalucía;14;Córdoba;14042;Montilla;1864;64;251;327;63;554;605;166;270;118;1162;148
201901;Enero de 2019;1;Andalucía;14;Córdoba;14043;Montoro;662;20;91;152;38;190;171;162;43;55;350;52
201901;Enero de 2019;1;Andalucía;14;Córdoba;14044;Monturque;89;5;14;15;9;32;14;21;8;7;46;7
201901;Enero de 2019;1;Andalucía;14;Córdoba;14045;Moriles;203;14;26;41;19;80;23;34;8;35;108;18
201901;Enero de 2019;1;Andalucía;14;Córdoba;14046;Nueva Carteya;137;6;20;33;11;41;26;31;8;18;64;16
201901;Enero de 2019;1;Andalucía;14;Córdoba;14047;Obejo;222;10;25;42;17;72;56;21;9;16;155;21
201901;Enero de 2019;1;Andalucía;14;Córdoba;14048;Palenciana;75;2;6;17;9;29;12;10;6;1;53;5
201901;Enero de 2019;1;Andalucía;14;Córdoba;14049;Palma del Río;1471;64;239;304;115;435;314;316;87;108;840;120
201901;Enero de 2019;1;Andalucía;14;Córdoba;14050;Pedro Abad;221;7;30;38;12;68;66;26;12;26;142;15
201901;Enero de 2019;1;Andalucía;14;Córdoba;14051;Pedroche;129;1;15;20;11;42;40;13;2;4;106;4
201901;Enero de 2019;1;Andalucía;14;Córdoba;14052;Peñarroya-Pueblonuevo;1471;71;256;269;79;422;374;91;74;266;863;177
201901;Enero de 2019;1;Andalucía;14;Córdoba;14053;Posadas;627;32;111;119;29;181;155;121;37;48;385;36
201901;Enero de 2019;1;Andalucía;14;Córdoba;14054;Pozoblanco;1448;52;177;229;79;439;472;132;172;162;853;129
201901;Enero de 2019;1;Andalucía;14;Córdoba;14055;Priego de Córdoba;1477;45;170;269;101;458;434;137;206;91;913;130
201901;Enero de 2019;1;Andalucía;14;Córdoba;14056;Puente Genil;2887;119;436;502;171;934;725;376;384;270;1557;300
201901;Enero de 2019;1;Andalucía;14;Córdoba;14057;Rambla, La;442;17;68;75;29;166;87;56;84;26;240;36
201901;Enero de 2019;1;Andalucía;14;Córdoba;14058;Rute;459;22;58;95;30;151;103;66;80;37;239;37
201901;Enero de 2019;1;Andalucía;14;Córdoba;14059;San Sebastián de los Ballesteros;43;2;8;9;1;17;6;5;2;6;26;4
201901;Enero de 2019;1;Andalucía;14;Córdoba;14060;Santaella;274;18;45;55;25;103;28;56;26;20;144;28
201901;Enero de 2019;1;Andalucía;14;Córdoba;14061;Santa Eufemia;62;3;6;16;0;13;24;4;2;20;36;0
201901;Enero de 2019;1;Andalucía;14;Córdoba;14062;Torrecampo;73;3;11;12;4;19;24;6;3;3;58;3
201901;Enero de 2019;1;Andalucía;14;Córdoba;14063;Valenzuela;16;0;5;3;0;4;4;5;0;1;10;0
201901;Enero de 2019;1;Andalucía;14;Córdoba;14064;Valsequillo;40;2;4;7;4;13;10;3;0;25;11;1
