Topic,Words,Frequency,Timestamp,Name
72,"cubanos, costa rica, rica, unidos, cuba",12,2016,72_cubanos_unidos_migración_costa rica
73,"macedonia, frontera, grecia, idomeni, cruzar",49,2016,73_macedonia_frontera_grecia_gevgelija
74,"riñón, donante, toni, inmigrante, clan",1,2016,74_legionela_barcaza_solicitantes asilo_...
75,"erdogan, turquía, turco, ankara, ue",37,2016,75_erdogan_turquía_turco_ankara
76,"australia, nauru, australiano, chino, papúa",45,2016,76_australia_nauru_australiano_saudí
79,"swing, oim, muertes, migrantes, muerto",5,2016,79_2018_muertes_ruta_oim
80,"acepta, inferior, ofreciéndole, cookies, información veraz",6,2016,80_acepta_inferior_ofreciéndole_cookies
81,"camión, conductor, mango, remolque, mossos",28,2016,81_camión_conductor_furgoneta_mossos
82,"maroto, derechos, entender, derechos libertades, vinculada",1,2016,82_marlaska_grande marlaska_grande_minis...
83,"alhucemas, naufragio patera, matadero, naufragio, patera",13,2016,83_patera_alhucemas_desaparecidos_salvam...
84,"macedonia, gases, lacrimógenos, gases lacrimógenos, policía macedonia",82,2016,84_macedonia_gases_lacrimógenos_gases la...
85,"trípoli, ataque, boko, boko haram, haram",12,2016,85_trípoli_libia_jartum_sudán
86,"marín, terremoto, sirios, marineros, sirios afectados",23,2016,86_terremoto_sirios afectados_afectados ...
87,"funes, nicaragua, morales, político, expresidente",1,2016,87_morales_evo_evo morales_bolivia
88,"guardacostas, guardia costera, costera, grecia, rescate",34,2016,88_guardacostas_guardia costera_costera_...
89,"iglesia, exposición, do, día, jornada",11,2016,89_día_jornada_migrante_día internaciona...
90,"maternidad, castelló, adopción, mujeres, pp",1,2016,90_adopción_pp_casado_situación irregula...
-1,"personas, migrantes, inmigrantes, refugiados, españa",4434,2019,-1_refugiados_personas_migrantes_país
0,"patera, salvamento, marítimo, salvamento marítimo, pateras",2077,2019,0_patera_salvamento_marítimo_salvamento ...
1,"vox, menores, inmigrantes, inmigración, españa",1786,2019,1_canarias_gobierno_migrantes_menores
2,"alemania, merkel, refugiados, alemán, seehofer",111,2019,2_alemania_merkel_refugiados_berlín
3,"policía, agentes, policía nacional, organización, detenido",352,2019,3_policía_detenido_policía nacional_agen...
4,"trump, méxico, unidos, donald trump, donald",590,2019,4_trump_méxico_unidos_donald trump
5,"open, arms, open arms, barco, ong",807,2019,5_open_arms_open arms_barco
6,"madrid, ayuntamiento, refugiados, aniorte, social",88,2019,6_refugiados_acogida_ayuntamiento_gobier...
7,"ceuta, salto, inmigrantes, valla, fronterizo",154,2019,7_ceuta_inmigrantes_valla_vallado
8,"salvini, italia, italiano, ministro, meloni",240,2019,8_italia_meloni_salvini_italiano
9,"refugiados, europea, ue, países, comisión",10,2019,9_refugiados_países_ue_000
10,"prisión, acusado, condenado, delito, audiencia",124,2019,10_prisión_acusado_patera_audiencia
11,"aeropuerto almería, niño, embarcación, evacuación médica, almería",47,2019,11_griega_naufragio_egeo_grecia
12,"turquía, sirios, ue, turco, ankara",23,2019,12_turquía_ue_ankara_turco
13,"méxico, unidos, frontera, guatemala, migrantes",262,2019,13_méxico_unidos_frontera_migrantes
14,"melilla, patera, cádiz, playa, embarcación",184,2019,14_cádiz_playa_embarcación_melilla
15,"italiana, rescatados, guardia costera, costera, mediterráneo",20,2019,15_guardia costera_costera_inmigrantes_g...
16,"papa, francisco, papa francisco, pontífice, vaticano",111,2019,16_papa_francisco_papa francisco_pontífi...
17,"grecia, islas, lesbos, refugiados, turquía",57,2019,17_grecia_refugiados_turquía_idomeni
18,"ue, países, europea, migración, europeo",71,2019,18_ue_europea_países_migración
19,"melilla, valla, salto, inmigrantes, salto valla",147,2019,19_melilla_valla_salto_inmigrantes
20,"reino unido, unido, reino, johnson, brexit",21,2019,20_reino unido_unido_reino_sunak
21,"solicitudes, asilo, peticiones, cear, solicitudes asilo",126,2019,21_solicitudes_asilo_peticiones_protecci...
22,"parís, francia, campamento, hidalgo, calais",41,2019,22_calais_francia_parís_campamento
23,"marruecos, españa, marroquíes, marroquí, inmigración",138,2019,23_marruecos_españa_rabat_marroquí
24,"música, refugiados, exposición, teatro, festival",62,2019,24_refugiados_música_concierto_exposició...
25,"méxico, unidos, cbp, frontera, mexicano",178,2019,25_méxico_unidos_inm_migrantes
26,"sanitaria, sanidad, tarjeta, salud, asistencia",23,2019,26_sanitaria_sanidad_atención_tarjeta
27,"incendio, bomberos, llamas, asentamiento, fuego",102,2019,27_incendio_bomberos_llamas_fuego
28,"israel, palestinos, gaza, israelíes, israelí",3,2019,28_israel_gaza_hamás_franja
29,"refugiados, sirios, sabadell, españa, madrid",10,2019,29_refugiados_españa_grecia_madrid
30,"keleti budapest, estación keleti, budapest, estación, keleti",1,2019,30_austria_refugiados_hungría_tren
