topic,ejemplo,comentario
20,2,"Un matiz, los progres (que aun tu rintintin me incluyo) apoyamos las revueltas árabes porque pedían democracia cosa que no tenía ni por asomo (Los Assad son dictadores y de los duros. Menos el hijo que el padre, pero la familia es de gatillo fácil). Que el ISIS sea peor que Assad no hace a Assad bueno, si no solo menos malo. Dicho esto, ahora, en el contexto sirio, lo menos malo es Assad."
20,3,Cual son esas zonas donde no esta el ISIS ni Assad?
21,1,"Aaamigo... Que no has jugado al juego ni nada, simplemente estas hablando de algo que no sabes... Pero eh! Como salen gays ya es una buenisima adaptacion... Pues no, es una historia diferente. De hecho en el juego el unico que se insinua que es gay es Bill y porque Elli le roba una revista porno gay. En una situacion postapocaliptica la palabra ""compañero"" puede significar cosas muy diferentes. #257 A mi tambien me gusta mas la historia de la serie, para una serie, que la historia del videojuego (que al fin y al cabo es un mata mata con un par de comentarios a partir de los que se hila la historia). Pero hay que reconocer que la historia que se cuenta en la serie y la historia que se cuenta en el juego son dos historias radicalmente distintas."
21,2,"A ver, es que si hacen el juego tal cual en serie sería muy aburrido. Yo veo bien que expandan el universo un poco más con cosas que en el juego igual no quedaban bien pero en serie sí. Pero sigue formando parte de la historia."
21,3,"bastante tengo con que se cargaran la historia del juego Me parece una actitud muy absurda porque: 1. Nadie te obliga a ver la serie. Deja que los demás disfrutemos de ella. 2. El juego sigue existiendo exactamente igual, aunque hayan hecho una serie sobre él. La serie no afecta en nada al juego. 3. Para tener exactamente la misma historia que el juego, vuelve a jugar a él, no veas la serie."
22,1,y por estas cosas permitiría la gestación subrogada.
22,2,"La gestación subrogada sí, pero aquí se hace mención a la fecundación asistida."
22,3,"La medida afecta tanto a parejas homosexuales como a parejas con hijos mediante gestación subrogada. A ambas les quitan la posibilidad de inscribir a los hijos adoptados, y en el caso de la gestión subrogada es hasta peor: los exponen a un máximo de dos años de prisión. Casi nada. "" Sin embargo, aquel Gobierno de centro-izquierda se abstuvo de otorgar plenos derechos de adopción bajo la idea de que fomentaría los embarazos subrogados (que no son legales en el país). (...) Hace cuatro meses, el ministro del Interior, Matteo Piantedosi, envió a las administraciones locales un documento para que suspendieran la inscripción de recién nacidos de parejas homosexuales. Del mismo modo se pedía un trato similar para los casos de gestación subrogada. (...) Según la instrucción, las actas de nacimiento en las que se indiquen padres del mismo sexo, así como el reconocimiento de filiación por parte del progenitor del mismo sexo de la madre gestante, ""no están permitidas"". Según Interior, tampoco se permite la transcripción de actas de nacimiento de niños en el extranjero procedentes de la gestación subrogada. (...) Hermanos de Italia, el partido de la primera ministra Meloni, ha presentado una propuesta de ley para que la gestación subrogada sea considerada ""delito universal"". Si esa idea toma forma de ley, las parejas italianas que se vayan a otro país a gestar podrían ser perseguidas y ser condenadas hasta a dos años de cárcel. """
23,1,"Esos están en nómina y existen por exigencia constitucional (artículo 27.3). Los talleres LGTBI no son materia curricular ni, por tanto, se exige un contrato nominal a sus oferentes. La sexualidad cabe perfectamente en otras materias comunes sin necesidad de asignatura propia; los talleres no son más que actividades extracurriculares (no hablo de talleres de laboratorio) de toma de contacto real con alguna noción impartida en clase. Si la religión existe como asignatura es porque no se reduce a cuatro aspectos solapables en otras asignaturas (redundancia) y porque entraña una formación adicional ""integral"" de la persona y hasta, históricamente, de las sociedades. Tampoco creo que educar en el respeto a ciertos colectivos necesite ir más allá de talleres o de la propia formación ya integrada en las escuelas. Vamos, que no es necesario ni posible (no habría materia para un curso o cursos) un profesor de ""LGTB"" para enseñar respeto durante uno o dos años. Sería un coste no demandado además (al menos en comparación con la religión)."
23,2,"Si es que no es posible omitir trasfondo cuando tu discurso no lo tiene. Yo ya te expliqué que los ponentes de las charlas no tienen que ser profesores (No es necesario para que un taller funcione), que son los propios centros los que supervisan la calidad de este tipo de actividades (Nadie deja solo a un desconocido con niños y adolescentes sin pararse a escuchar qué suelta), y que ya existen mecanismos de control previos para no dejar a los menores con gente con antecedentes. Si te parece añado que cuando las organizan ONGs no se le cobra al centro directamente nada (Aunque al final del año redactarán una memoria con lo que hicieron para optar a subvenciones), y que suelen tener sus materiales a disposición de quien se interese por llamarlos. Tú ante toda esta evidencia repetiste el mantra: ""acabar con chiringuitos, que están todos mu mal"". Está bastante claro que no puedes explicar qué va a hacer un partido de extrema derecha con los nombres más allá de intentar asustarlos con el mítico: sabemos quienes sois. ¿Quieren retirarles la subvención? Pueden, sin necesidad de lista de nombres, que para algo es dinero público ¿Van a saber ellos mejor que los propios centros si los talleres aportan algo o son adoctrinamiento político? Evidentemente, no, porque podemos estar hablando de actividades en decenas de colegios e institutos cada año sin que nadie antes hiciese una sola denuncia. Blanqueamiento de la extrema derecha de libro, vamos: justificar unas acciones bastante discutibles y peligrosas (Oh, sin querer la lista con información personal de esta gente se ha filtrado y ya hay varios diciendo en foros que saben donde viven y quieren convencerles ""amablemente"" de que paren de adoctrinar niños) en base a un mantra genérico y sin ser capaz de explicar como van a aportar algo."
23,3,"Si es que el principal problema es que a base de listas con nombres no vas a auditar ningún taller de este tipo. Una persona que imparte una actividad sobre diversidad no tiene necesariamente que ser profesor ni tener unos estudios determinados; se suelen solicitar ponentes a este tipo de asociaciones porque están especializados en ello, pero es que además es el propio centro que el que debería supervisar qué se hace y cómo se hace; no es llamarlos y dejarlos hacer y deshacer a su bola. Aquí entramos un poco en la tan odiada titulitis de España: tú puedes tener a un tipo con 20 años de docencia, dos másters y un doctorado y le ponen a dar un taller sobre derechos LGTBI y acaba el centro con cuatro denuncias porque el tío no tiene ni idea, no es su materia y aún por encima suelta barbaridades; y después puedes tener a un señor al que un día le dieron una paliza por ser gay en un bar, que desde aquella colabora con una asociación de derechos LGTBI, y que resulta que es un crack sensibilizando adolescentes pese a que de formación solo tiene el graduado. No importa demasiado el título si la actividad funciona, porque no es un profesor más, es alguien que aparece por el centro en un momento determinado y, bajo supervisión del profesorado, sensibiliza a los chavales. Tal y como te ha explicado #10, el principal caso en que se tiene vía libre para dar una materia completa en secundaria sin cumplir ningún requisito previo es el de la religión, que los escogen a dedo. Es más, existen cientos de actividades dirigidas a primaria y secundaria que carecen de valor pedagógico: hay bancos que envían ponentes para hablar de las virtudes de invertir en bolsa, aseguradoras que mandan gente para convencer a los chavales de que les digan a papá y mamá que compren un seguro, etc. Son los propios centros los que tienen que decidir si eso vale o no vale, y si aporta algo tener a cualquiera de ellos por ahí durante una hora, y no importa mucho la colección de títulos de la que pueden hacer gala si al final su propuesta no tiene interés. Un policía no tiene que tener magisterio para explciarles a los chavales que robar está mal (Ya solo con el uniforme se los gana en la mayor parte de los casos) pero sí que tiene que haber mínimo un profesor detrás escuchando lo que se dice y si cumple con lo esperado. Lo que busca VOX es lo de siempre: intimidar un poco y hacerse notar; sacar lista de gente de una ideología opuesta a la suya. A día de hoy, casi lo primero que se pide a la hora de trabajar con niños y adolescentes es demostrar que no tienes antecedentes previos de abuso a menores; hasta se los solicitan a los trabajadores de una empresa que va a ofertar prácticas para gente de FP. Ya existe un control de este tipo de cosas, y por ello no es el objetivo de la extrema derecha."
24,1,"Por supuesto, yo también fascista, faltaría más. Todos fascistas. Una buena descripción de mi ideología política. Sí, señor, acertada. Hace años se llamaba trotskismo, pero ahora es sencillamente fascismo. Como todas las demás que no sigan el discurso progre. De hecho, entre vosotros también os acusáis de fascista... El postmodernismo es una pseudorreligión, con mecanismos análogos de demostración de la pureza, excomunión de los herejes... (fascista, fascista, tú no formas parte de la grey, del número de los justos!!!). Ahora el pensamiento religioso es propio de la neoizquierda."
24,2,"En total 11 fascistas, eso es lo que puede que quisiera decir, pero lo que ha dicho es otra cosa. Ha dicho que el fascista deja de ser fascista, o sea, le ha blanqueado."
24,3,Llamais fascista a cualquier cosa.
25,1,"Tu debes tener un gravisimo problema mental. La poblacion rusa, esos hijos y nietos de los genocidas sovieticos que provocaron exterminios masivos en Ucrania y Crimea, unas limpiezas que superan con creces a las limpiezas que cometieron los nazis... Los tartaros de Crimea han denunciado persecuciones y mucha violencia a manos de los rusos. Hoy la calidad de vida en Crimea ha bajado, aumenta la violencia e inseguridad, han bajado mas de un 40% los sueldos, la cesta básica de compra se ha encarecido... bravo, apoyais a un subnormal fascista que no para de empobrecer a su pueblo, tu eres muy tonto! Olvidas tu quien gobierna y dirige las milicias en el Este de Ucrania hoy en dia??? Curioso que me hables de pasado de Ucrania y no menciones el presente de Donbass. JAJAJAJAJJA Puto psicópata! Bien, nacionalistas rusos persiguiendo a los hijos y nietos de los genocidas que exterminaron a millones de Ucranianos, lástima que hayan empezado bastantes decadas tarde, a los rusos hay que expulsarlos de Ucrania! Espero que los quemen a todos! Llevamos mas de un año de guerra en Siria, dónde estan esos avances rusos??? Curioso cuanto menos, los rebeldes controlan mas del 40% del pais, los terroristas del ISIS un 35% del pais, y el genocida Al Assad menos del 25% de Siria. Dónde estan esos éxitos de la ayuda rusa al dictador? Cuanto nos queda de guerra en Siria, 50 o 70 años para que AL Assad se imponga o qué? Me hablas de hipoteticos ataques, pero mirando los mapas actualizados a los ultimos dias, no veo esos avances del dictador contra los terroristas, veo que casi todos los frentes y ataques son contra los rebeldes moderados. Rusia presenta pruebas, despues de secuestrar las cajas negras que tardaron dos semanas en entregar a las autoridades correspondientes. Tu eres muy tonto, te mean en la boca y les aplaudes. Ale campeon, aqui tienes a esos terroristas prorrusos admitiendo haber derribado el avion, videos grabados por ellos mismos: http://www.liveleak.com/view?i=c5e_1437086215 Todas las investigaciones internacionales, ABSOLUTAMENTE TODAS, apuntan a Rusia como responsable del derribo del MH17, fue Rusia quien vetó en la ONU que se abriera una investigacion para perseguir y ajusticiar al os culpables, Rusia defendiendo y protegiendo a sus lacayos nazis y fascistas. Eres un tipo alucinante, alucinantemente fascista! Tu eres quien no ha dicho una puta verdad, mientras Putin paga las guerras de Siria y Ucrania, regala 9 millones de € a los fascistas en Francia, condonan la deuda con otros paises, aumentan el gasto militar y recortan en absolutamente todos los ministerios e incluso en empleos publicos. Rusia, pais con 70 millones de pobres, con un salario minimo por debajo de paises como Ucrania, Camboya, China, Rusia ni si quiera alcanza ni la mitad del salario minimo de Tailandia... Vamos, hasta la hoy ruinosa Grecia tiene un SMI 10 veces superior al SMI de Rusia. Tio, por que defiendes a un pais extremadamente violento y extremadamente pobre?? Tu eres tonto? Telesurtv, la proapganda del mono de Maburro. Anda y vete a cagar con tu basura de propaganda, entre RT, telesur y publico andas listo.. te ha faltado poner hispantv, esa propaganda del regimen de Iran que ejecuta a mas de mil personas en 2015, muchisimas mas que las 170 ejecuciones de Saudi. {troll}"
25,2,"Estabas allí? donde estan las pruebas de que estaban falseadas las papeletas??? la población se dejó robar y entregar a Rusia verdad? es increible el nivel de ignorancia. Que no fueran observadores occidentales pro Ucrania me parece bastante normal dada la situación en aquel momento. Olvidas quien gobernaba Ucrania? olvidas que son nazis??? Partidos de ultraderecha financiados por los gobiernos hay en todos los paises, eres un hipócrita, se llama democracia. http://www.publico.es/internacional/batallon-nazi-ucraniano-azov-crucifica.html Aquí tienes a los nazis, quemando rusos, listo,que no eres más que un listillo demagogo totalmente manipulado y aleccionado. https://www.youtube.com/watch?v=Uzitk90Q94E Aqui tienes un poco de información ,que la disfrutes ignorante. Entiendes que para ti los grupos moderados , son alqaeda y al-nusra??? quienes lanzaron el 11-M en España???? lo pillas ignorante??? http://www.elconfidencial.com/mundo/2016-02-11/por-que-el-frente-al-nusra-es-mas-peligroso-que-el-estado-islamico_1149523/ Aqui tienes a tus moderados hipócrita. Que Rusia lleva meses sin atacar a los terroristas. porque tu lo dices,verdad? http://diario-octubre.com/tag/operacion-antiterrorista-rusa-en-siria/ Este mismo mes han atacado varias veces ignorante hipocrita. Para tu información Rusia para evitar a bocazas de tu nivel, presenta prueba con videos e informes a la Otan de todos sus ataques. IGNORANTE http://es.rbth.com/internacional/2016/03/10/informe-filtrado-de-la-otan-destaca-eficacia-de-fuerzas-rusas-en-siria_574315 No te sorprendas si Occidente no hace referencia a los logros rusos, hay que ser muy ciego para no entender que hay un apagón informativo en relación a Rusia. Respecto al tema del MH17 solo hay que ver quien hizo los informes, los mismos que embargan a Rusia. En estos casos solo hay que ver quien gana ante un hecho así. Como vemos, Rusia solo tenía las de perder, en cambio a Ucrania le vino genial para acusar a Rusia y poner de lado a occidente con la ayuda inestimable de EEUU. http://www.telesurtv.net/news/Continua-ofensiva-conjunta-entre-Siria-y-Rusia-contra-el-Estado-Islamico-20151005-0004.html En definitiva, no has dicho una puta verdad, todo pura demagogia de alguien facilmente manipulable y aleccionado."
25,3,"CLaro que se mucho mas que tu, todas las investigaciones son internacionales e independientes, y absolutamente TODAS, apuntan al fascista de Putin y sus lacayos neonazis y fascistas. Curioso, en los 2 ultimos años, Rusia ha dado como media docena de versiones diferentes, a cada cual mas manipuladora. Vete a cagar tu con tu propaganda, Putin ha defendido por activa y por pasiva a esos terroristas que derribaron un puñetero avion de pasajeros, un avion derribado con un sistema militar ruso! Ucrania tiene todas sus unidades, Rusia calla ante el numero de sus unidades, a parte de las fotos del sistema BUK que se han hecho en Donbass, cerca de Rusia, y falta uno de los misiles. Si no existiera esa prensa? JAJAJAJJAJAJAJAJJAJA Otros periodistas de otros medios han realizado casi todas las denuncias que posteriormente hizo Rusia. Qué mierdas me estas contando!? Apagon informativo? No te refieres al cierre de medios privados rusos, al encarcelamiento de docenas de periodistas rusos??? No, a eso es obvio que no te refieres, tampoco te refieres a que todos los indices dejan a Rusia entre los 25 paises con menor libertad de prensa de mundo. Por que mierdas no te vas a vivir a esa fantastica Rusia, asi disfrutar de la enorme presencia de neonazis y fascistas amparados por Putin, disfrutas de la ausencia de libertad de expresion y libertad de prensa, solo leeras las noticias que el Kremlin quiere que leas, pues los medios privados tienen terminantemente prohibido publicar noticias en Rusia, con castigo de carcel. Por favor, mira los mapas de guerra en Siria, mira la situacion en Septiembre del 2015 a hoy, donde esta el avance de las tropas del dictador Assad apoyado por Rusia? No tiene absolutamente nada que ver con el brutal avance de rebeldes y kurdos. Cuanto estimas de guerra en Siria, mas de 50? mas de 70? EL dictador no va a ganar la guerra, es absolutamente imposible. Hispantv, el medio que faltaba, la propaganda de Iran, pais que ejecuta a mas de mil personas en 2015. JAJAJAJ Hispantv es de IRAN, que no te enteras ni de por dónde te estan meando. https://es.wikipedia.org/wiki/HispanTV ""Television pública iraní"". {troll} Curioso, dices que repito mentiras cuando eres tu el enfermo mental qeu defiende un pais fascista donde no existe la libertad de prensa, usando panfletos de propaganda del gobierno ruso. ERES LA HOSTIA! jajajaja"
26,1,Lo que estás es de psiquiatra
26,2,¿Quién ha hablado de un psicólogo? Un psiquiatra es un médico. No tiene nada que ver.
26,3,"Con el astrónomo y el astrólogo conseguí aclararme hace tiempo, con el psicólogo y el psiquiatra aún estoy en ello."
27,1,"las decisión que acaban de tomar es saltarse una de las mas antiguas constituciones que hay, acaban de echar el estado de derecho por la borda. La regulación del matrimonio homosexual estaba constitucionalmente relegada a los estados, hasta ahora había estados que permitían el matrimonio homosexual y otros tras referéndum decidician que no. Ahora obligan por ley a aceptar el matrimonio homosexual. Se ha dado la vuelta a la tortilla: antes de prohibía en matrimonio homosexual, ahora de prohibe el matrimonio definido como la unión entre un hombre y una mujer, antes se llamaba enfermos a los homosexuales, ahora de llama enfermos a los ""homófobos"" y a todos los que no entren en lo políticamente correcto, ya se habla de clases de reeducación para ellos. Hicieron la misma cagada con el aborto en USA, que no aparecía como un ""derecho"" en la constitución en ninguna parte, los estados podían permitirlo o no, y el tribunal supremo lo permitió en todos los estados. Y la bandera confederada la prohíben, porque ofende a mucha gente, en cambio el matrimonio homosexual lo imponen por ley aunque ofenda a mucha gente. Dentro de poco la obligación de aceptar la poligamia, por que quienes somos nosotros para meternos en la vida de los demás? Que España hiciese eso no me sorprendería, pero un país como USA donde tenían un bien definido estado de derecho no me lo esperaba"
27,2,"Abascal: ""El matrimonio es entre un hombre y una mujer, no entre dos hombres ni entre dos mujeres. Yo de lo que soy partidario es de que haya uniones civiles entre personas del mismo sexo."" Una unión civil es lo mismo que un matrimonio, con los mismos derechos."
27,3,"La iglesia se encarga de inscribirte en el registro civil, pero un matrimonio se ha consumado de manera religiosa y no civil. En otros países no se acepta un matrimonio que no se haya firmado civilmente, no se reconoce el matrimonio en la iglesia. Es el matrimonio el que se tiene que casar personalmente de manera civil para que luego la iglesia de ese país te permita realizar el matrimonio religioso."
28,1,"Tiene el mismo sentido que en cualquier otra cosa. Es un truco para que una mujer gane algo, no es nada más. Por esto que me parece muy bien que los trans no puedan participar. Si un trans quiere ganar algo, pues que hagan competiciones de solo trans y así ganará un trans."
28,2,"Transexual asume la binariedad del género (hombre o mujer, fin). Transgénero hace referencia a que el género es una dimensión no binaria, y por la cual hay personas que se sienten en ciertas escalas de grises. Se supone que la persona transexual busca hacer modificaciones corporales para ""ser"" del otro género, mientras que la persona transgénero está agusto con su cuerpo sin tener que asumirse a ninguna etiqueta."
28,3,Es que no es solo para trans...
29,1,"eso está cogido por los pelos, porque seguramente muchos no se dedicarán al fútbol o lo abandonarán pronto por el rechazo que hay en ese mundo. Igual que el porcentaje de lesbianas en el fútbol femenino, que es altísimo, porque entre las heteros no está muy bien visto jugar al fútbol."
29,2,"No, cosas de que la noticia trata de la homosexualidad en el fútbol y su visibilidad, no de fútbol en sí."
29,3,Desde luego no es el del fútbol
30,1,"alemanes, qué buena gente."
30,2,"En líneas generales creo que los alemanes son raros. Los alemanes vienen aquí a Canarias de turismo y están todo el día haciendo fotos y vídeos, incluso he encontrado a algunos alemanes con el coche aparcado en una curva de una carretera secundaria haciéndole fotos a las plantas que hay en las cunetas, ellos están siempre aquí con las cámaras enfocando a todo el mundo, pero una vez yo fui con un grupo de gente a dar un vuelta por Alemania y cuando la gente del grupo se ponían a hacer fotos los alemanes se mosqueaban muchísimo, e incluso alguno que otro decía enojado que no le hicieran fotos. Bueno, no sé si todos los que se mosqueaban eran alemanes porque ahora mismo, en algunos sitios de Alemania, hay más gente de otros países que alemanes, ahora mismo casi todos los alemanes se están viniendo a vivir a España y casi todos los españoles se están marchando para otros países. No hace mucho estuve viendo un vídeo sobre el barco crucero Mein Schiff 4, y pude observar que los turistas alemanes que se encontraban en el interior miraban con mala leche a quien los estaba filmando y algunos se tapaban la cara con las manos o volteaban la cabeza. Ellos quieren hacer fotos, pero luego ellos no quieren salir en las fotos. Yo pienso que en Alemania hay dos clases de Alemanes, los clientes del LIDL y los clientes del ALDI. Los clientes del LIDL quieren una Alemania integrada en Europa, son los buenos, pero los clientes del ALDI quieren una Europa alemana, y esos son peligrosos, son quienes añoran tiempos pasados e incendios pasados, de no ser el incendio de Dresde."
30,3,Que los alemanes son así no es noticia.
31,1,Demasiados incendios en albergues para refugiados en Alemania ¿no? {undecided} https://www.meneame.net/story/incendio-destruye-edificio-debia-ser-hogar-refugiados-alemania https://www.meneame.net/story/incendian-otro-hogar-refugiados-alemania https://www.meneame.net/story/incendio-albergue-refugiados-amenazado-neonazis
31,2,"Eso y mucho más se puede decir de otros estados europeos que no han acogido refugiados pero no especialmente de Alemania. Por otro lado, como diría una persa Del mismo modo que Europa no es la única responsable de la creación de la crisis de refugiados, tampoco debe caer sobre ella toda la carga de su solución, a menos que desde el eurocentrismo le asignemos a Europa la virtud de ser la máxima expresión de los Derechos Humanos. Este enfoque, además de estar muy lejos de la verdad, desdibuja el papel de otros implicados –en el caso de los refugiados sirios, por ejemplo, el de Turquía y Arabia Saudí -, en la huida de millones de personas de Asia y de África hacia donde pueden. http://blogs.publico.es/puntoyseguido/3239/refugiados-una-cuestion-geopolitica-mas-que-humanitaria/"
31,3,Pues estamos recolocando a la de ya! a 875 refugiados en la UE.
32,1,"#68 eehh si bueno, llamalo como quieras, a ver cuantos son en nombre de dios a civiles desconocidos. Asesinatos claro que hay todos los dias por distintos motivos, pero no es lo mismo por ejemplo si a final de año hay 60 mujeres muertas de violencia de genero que 60 muertos por follacabras asesinando a desconocidos en nombre de dios. Son igual de muertos si, pero hay cifras que son más asumibles en ciertas sociedades que otras, mismo en usa mueren 30.000 personas por armas de fuego al año pero son cifras asumidas, aquí por accidentes de trafico 1000 cada año y por suicidios 3800, por tu razonamiento pocas causas van a superar en gravedad a los suicidios o los accidentes de tráfico, poco más hasta que el terrorismo supere a estas dos causas nunca va a ser relevante."
32,2,"Sin duda, pero no por ello los demás hombres no deberían llevar algún arma para defenderse. Al menos según la lógica anterior. Me recuerda un poco al discurso estadounidense donde todos deben ser capaces de defenderse, sin pensar que cualquiera podría ser agresor."
32,3,"según la RAE es un arma puesto que es un objeto cuya finalidad es defenderse. arma. (Del lat. arma, -ōrum, armas). 1. f. Instrumento, medio o máquina destinados a atacar o a defenderse. Pd: yo no invento las palabras ni les doy significado, para eso esta la RAE"
33,1,"totalmente de acuerdo. además que un cambio de sexo es Imposible. Puedes tus genitales operarlos, enmascararlos, amputarlos,... cambiar tu género. pero el sexo nunca. Va imbuido en los genes."
33,2,"Bueno, explícame lo que lo hace tan diferente. ¿Qué es la orientación sexual? La orientación sexual es una atracción emocional, romántica, sexual o afectiva duradera hacia otros. https://www.apa.org/topics/lgbtq/sexual blanquear un delito En absoluto. Yo pienso que la pederastia debe estar duramente penada, pero no la homosexualidad. Estoy planteando la cuestión de que no puedan ofrecerse tratamientos o de alguna forma recursos para alterar el comportamiento o deseo afectivo-sexual de quien voluntariamente acuda a ellos."
33,3,"¿Psicólogos? ¿Profesionales? Prefiero hacer caso a los antropólogos que estudian el fenómeno en múltiples culturas muy distintas. Que también son muy profesionales. Pero oye, si para ti tu orientación sexual es parte fundamental de tu identidad, enhorabuena. Pero respeta que para mí, mi orientación sexual sea un gusto más,, de los muchos que tengo, y que no forme parte de mi identidad. Entiendo por qué crees que tu orientación sexual es inamovible, ¿entiendes tú por qué creo que mi orientación sexual puede cambiar? Todos aquellos para los cuales su orientación sexual sea algo tan insignificante identitariamente como cualquier otro gusto, podrán evolucionar y vivir una vida sexual más plena, sin reprimirse con complejos identitarios absurdos."
34,1,"- ¿Qué haces, Giorgia? - Cosas, Peter... - ¿Cosas... nazis? - ¡Sí, Peter! ¡Cosas nazis, cosas nazis!"
34,2,"nazis, nazis, nazis, everywhere! Que nivelon!"
34,3,"Entre nazis sí, desde luego."
35,1,"¿ Quién te ha dicho que eres un violador, hombre ? Cuéntanos..."
35,2,"Contra hombres no,contra violadores. Eso o estás considerando a todos los hombres violadores."
35,3,"Acaso importa? un violador es un violador, da igual la religión que profese."
36,1,"#20 Nadie niega que Hamas tenga bases con alguno de los cientos que secuestraron hace 3 semanas. Y que en 3 semanas, después de lanzar cientos de bombas diariamente, los cohetes israelíes, acierte en alguna de esas bases. Pero estás desacertado en tu apunte, simplemente observando los acontecimientos y la mayoría de las víctimas que están generando estas bombas, en su gran mayoría niños y mujeres: Israel-Palestina: Casi el 70% de los muertos en Gaza son niños y mujeres, informan al Consejo de Seguridad https://www.meneame.net/m/actualidad/israel-palestina-casi-70-muertos-gaza-son-ninos-mujeres-informan Más niños muertos en Gaza que en un año de guerras en el mundo https://www.abc.es/internacional/ninos-muertos-gaza-ano-guerras-mundo-20231030190205-nt.html No se puede considerar más que ""ingenuidad"" el creer que los objetivos de Israel es, obviamente, ya no salvar rehenes sino eliminar Hamas y los que perpetraron el ataque a Israel. No ese no es el objetivo. A lo sumo podrá ser la excusa. Pero ni eso, echando un ojo a las estadísticas y el número de veces que han acertado a terroristas o a niños. El objetivo, como digo en #11, es masacrar niños y eliminarlos de esa región lo antes posible. Y a estas alturas negarlo, es negar una evidencia. Aparte de esto, me llama la atención que en ese comunicado que destacas sí creamos a Hamas, pero en este otro https://www.europapress.es/internacional/noticia-israel-gaza-directo-20231008165257.html no creamos lo que dice Hamas sobre la autoría de Israel del ataque. Cada comunicado de Hamas o cada comunicado de Israel, tendremos razones para no creernoslos ( o de creernoslos según nos interese). Pero las imágenes de mísiles cayendo en residencias y las posteriores imágenes de cientos de niños aniquilados o desangrándose en hospitales, esas son reales. Y estas imágenes, junto la estadística de 3500 niños muertos, deja en evidencia que el objetivo no es derrotar a Hamas, sino eliminar por completo la población de Gaza, centrándose en sus generaciones más jóvenes para así asegurarse el exterminio de tal población. Un holocausto en toda regla. Es así como Israel ha convertido Gaza en un campo de exterminio."
36,2,"Si los palestinos se van a los países árabes como refugiados, Israel acaba formando el gran Israel, el sueño sionista que han pretendido desde su formación desde la formación del estado de Israel en 1948, pero al mismo tiempo una humillación para todos los países árabes."
36,3,"Pero como no es en Israel, pues no interesa."
37,1,los de la semana santa
37,2,"Entiendo lo que quieres decir pero creo que no es lo mismo, hace mucho que no asisto al orgullo pero creo que ahora es casi dos semanas de actividades, no se limita solo a un poco de propaganda, colgar banderas y un desfile. Y eso creo yo que es la mayor critica que se ha hecho. Seria como celebrar fin de año durante 2 semanas. 2 semanas de fiesta, alcohol, suciedad, manifestaciones, cortes de calles... Eso afecta a los vecinos. Creo que hace 10 o 15 años la gente no se quejaba tanto porque era solo un fin de semana. La semana santa si puede ser un mejor ejemplo, este año la pase en Motril y asistí a un par de procesiones y vi el programa de la semana santa y me imagino que ser un vecino que no celebre la semana santa y tener todos los días procesiones hasta las 2 de la mañana puede ser molesto sobre todo si tienes que madrugar para ir a trabajar, pero bueno tiene la parte buena de que en esa semana solo hay 3 días laborables."
37,3,"No he negado que las navidades sean dos semanas, pero el impacto que tienen para alguien que no la celebra no va mas allá de decoración y lucecitas en la calle. Como he dicho la semana santa es una mejor comparación, yo soy ateo y comprenderás que me la suda mil y estoy muy de acuerdo con lo que dices, si fui es porque mi novia es Filipina y como la mayoría muy creyente y quería enseñarle como se celebra aquí la semana santa. La diferencia es la inmensa mayoría de la población no somos malas personas y si alguien cree que hay un ser del espacio y lo quiere adorar en la calle no le vamos a decir nada. Estoy totalmente de acuerdo contigo, no se si te he dado la impresión contraria, como he dicho soy ateo y respeto la semana santa y si me encuentro una procesión no me pongo a escupir y a gritar. Con lo del orgullo es lo mismo, a mi no me molesta y cuando era mas joven asistí varios años y me lo pase muy bien. Solo he comentado cual es la critica que suelo ver sobre el orgullo, que fue pasar de una semana a un mes de celebración (el mes del orgullo) supongo que hay gente que lo tachara de depravación Sodoma y Gomorra y tal, pero eso es una minoría al igual que los que se refieren a la semana santa como adoradores de seres imaginarios rodeados de pedófilos, entiendo que son una minoría y la mayoría respeta las creencias de los demás (a pesar de que en este foro el odio a la religión cristiana parece mayoritario)"
38,1,"La gramàtica del castellano del siglo XV también difiere mucho del actual. Y no hablemos del siglo X o XI. Al igual que los textos catalanes de ese periodo son muy diferentes. Pero si cogemos a Joanot Martorell y su Tirant-lo blanc no és tan diferente al actual. Obviamente que hay diferencias. Pero no tan diferente. Y te vuelvo a repetir, la evolución del catalán tiene un continuo claro. Hay palabras que se usaban en catalán antiguo que en algunos dialectos han quedado y se siguen usando y otras no. Por ejemplo sombrero, en catalán actual es barret y en mallorquín capell. Pero la palabra capell en el catalán del siglo XIII se usaba. Son la misma lengua, diferente dialecto. No tienes dudas de eso con el castellano, cuando el castellano de Colombia puede ser bastante diferente y más de según qué regiones. Mi dialecto del mallorquín por poner un ejemplo, es bastante diferente al que se habla en el resto de la península. Se le parece más al catalán."
38,2,"Hablamos dialectos. Yo como mallorquín, te lo confirmo. Hablamos un dialecto llamado mallorquín, Para que lo sepas, nadie habla una lengua. Absolutamente nadie. Todo dioss habla un dialecto. Sea del ingles, del castellano, del catalán, del ruso, del euskera, del japonés, del afrikaans,... Nadie habla la lengua, todo el mundo habla un dialecto, y yo hablo un dialecto del catalán (el mallorquín), un dialecto del castellano (el castellano que se habla en Mallorca por parte de los nativos catalanohablantes) y un idalecto del inglés."
